m,p_density
-1.0,1.9347796170717226e-301
-0.99,4.8967726181250086e-08
-0.98,2.798152339029038e-06
-0.97,1.8182683712156613e-05
-0.96,5.889891685455462e-05
-0.95,0.00013554009477485712
-0.94,0.000255531023733699
-0.9299999999999999,0.0004240245597670046
-0.9199999999999999,0.0006425913377673971
-0.9099999999999999,0.0009130458883102825
-0.8999999999999999,0.0012358310082171084
-0.8899999999999999,0.001610109598890647
-0.8799999999999999,0.0020354539055876877
-0.8699999999999999,0.0025105154512744853
-0.8599999999999999,0.0030340446828564134
-0.8499999999999999,0.0036062402682589395
-0.8399999999999999,0.004226363722116222
-0.8299999999999998,0.004892911724935582
-0.8199999999999998,0.00560648605252905
-0.8099999999999998,0.00636634591706685
-0.7999999999999998,0.0071739448042375704
-0.7899999999999998,0.008028294247119242
-0.7799999999999998,0.008930809393292685
-0.7699999999999998,0.009881699688383821
-0.7599999999999998,0.01088288716182616
-0.7499999999999998,0.011936374503501894
-0.7399999999999998,0.013042999610654303
-0.7299999999999998,0.014204978132502384
-0.7199999999999998,0.015425450422087667
-0.7099999999999997,0.016706485061013472
-0.6999999999999997,0.018052115861178667
-0.6899999999999997,0.019464842548817116
-0.6799999999999997,0.020949440442733613
-0.6699999999999997,0.022510358839033854
-0.6599999999999997,0.024153263117296913
-0.6499999999999997,0.025882729368960557
-0.6399999999999997,0.027705859894372038
-0.6299999999999997,0.02962921056981741
-0.6199999999999997,0.03166021347088068
-0.6099999999999997,0.033808555050432815
-0.5999999999999996,0.03608262949436866
-0.5899999999999996,0.03849392098149638
-0.5799999999999996,0.04105491695946554
-0.5699999999999996,0.04377785462680545
-0.5599999999999996,0.04667699799587603
-0.5499999999999996,0.049770188253990225
-0.5399999999999996,0.05307370775846568
-0.5299999999999996,0.056608205026782835
-0.5199999999999996,0.06039642607976213
-0.5099999999999996,0.06446374211149193
-0.49999999999999956,0.0688375833389752
-0.48999999999999955,0.07355393059944262
-0.47999999999999954,0.07863827072365409
-0.46999999999999953,0.08412539034911919
-0.4599999999999995,0.09006194699276057
-0.4499999999999995,0.09649598074053253
-0.4399999999999995,0.10347944919066134
-0.4299999999999995,0.1110680066998058
-0.4199999999999995,0.11932743332935472
-0.4099999999999995,0.12832819628182152
-0.39999999999999947,0.1381510363028984
-0.38999999999999946,0.148889391826085
-0.37999999999999945,0.16064015296235729
-0.36999999999999944,0.17352150229213065
-0.35999999999999943,0.18767200756226582
-0.3499999999999994,0.20321516013416716
-0.3399999999999994,0.22024597984687125
-0.3299999999999994,0.23887432817445614
-0.3199999999999994,0.25933680896667916
-0.3099999999999994,0.2818628658576545
-0.2999999999999994,0.3066501172291329
-0.28999999999999937,0.3338858058791014
