m,p_density
-1.0,5.684838373735533e-302
-0.99,7.0665841095159365e-09
-0.98,4.516452489435277e-07
-0.97,3.0588678577211798e-06
-0.96,1.036690182867475e-05
-0.95,2.4877159315396456e-05
-0.94,4.887275536575759e-05
-0.9299999999999999,8.439059742520861e-05
-0.9199999999999999,0.00013304506380669299
-0.9099999999999999,0.00019670630551017477
-0.8999999999999999,0.00027690264664230897
-0.8899999999999999,0.00037508513443179186
-0.8799999999999999,0.0004927687891755082
-0.8699999999999999,0.0006311008792436009
-0.8599999999999999,0.0007918212674415127
-0.8499999999999999,0.000976377366354962
-0.8399999999999999,0.0011864995986882881
-0.8299999999999998,0.0014233460726898275
-0.8199999999999998,0.0016888119513848118
-0.8099999999999998,0.001984469193128161
-0.7999999999999998,0.002312635901657071
-0.7899999999999998,0.002674746775360172
-0.7799999999999998,0.0030732229891016548
-0.7699999999999998,0.0035098465340708744
-0.7599999999999998,0.003987416860283929
-0.7499999999999998,0.004508628016835178
-0.7399999999999998,0.005075941448255567
-0.7299999999999998,0.005692348374512483
-0.7199999999999998,0.006361500205036873
-0.7099999999999997,0.007086278759917523
-0.6999999999999997,0.007871299680710327
-0.6899999999999997,0.008719906370365103
-0.6799999999999997,0.009637227097366953
-0.6699999999999997,0.010628082164207438
-0.6599999999999997,0.011698355362858171
-0.6499999999999997,0.012853088739860189
-0.6399999999999997,0.01409985823732706
-0.6299999999999997,0.015445604520752524
-0.6199999999999997,0.016897632168962992
-0.6099999999999997,0.018465783129088333
-0.5999999999999996,0.02015882043771476
-0.5899999999999996,0.021988142761517098
-0.5799999999999996,0.023966237244051756
-0.5699999999999996,0.02610567058893818
-0.5599999999999996,0.028420840273769822
-0.5499999999999996,0.030929403784070757
-0.5399999999999996,0.03364838334077391
-0.5299999999999996,0.03659832722451774
-0.5199999999999996,0.03980241616316586
-0.5099999999999996,0.043286242439461976
-0.49999999999999956,0.047077678042331886
-0.48999999999999955,0.051212991598987956
-0.47999999999999954,0.05572033739536529
-0.46999999999999953,0.060636387536592715
-0.4599999999999995,0.06600921149312795
-0.4499999999999995,0.07188836646043786
-0.4399999999999995,0.07832827866358315
-0.4299999999999995,0.08538905363235391
-0.4199999999999995,0.09313956026243098
-0.4099999999999995,0.10165545266326868
-0.39999999999999947,0.11102287741706131
-0.38999999999999946,0.12134087849884757
-0.37999999999999945,0.13271462901223022
-0.36999999999999944,0.14526959553412674
-0.35999999999999943,0.15915300444225877
-0.3499999999999994,0.17450492314231883
-0.3399999999999994,0.19143918745266522
-0.3299999999999994,0.21008453141597624
-0.3199999999999994,0.2306884065141077
-0.3099999999999994,0.25349862188393957
-0.2999999999999994,0.2787359621628283
-0.28999999999999937,0.3066141190759213
-0.27999999999999936,0.3380539954180958
-0.26999999999999935,0.3719616071613551
-0.25999999999999934,0.40947629113746686
-0.24999999999999933,0.4508281954971876
-0.23999999999999932,0.49575439717892744
-0.22999999999999932,0.5458764009846213
-0.2199999999999993,0.6005998770576054
-0.2099999999999993,0.6599801352868016
-0.1999999999999993,0.7246349695395315
-0.18999999999999928,0.7956288148478714
-0.17999999999999927,0.8723751424628899
-0.16999999999999926,0.953967739556185
-0.15999999999999925,1.0436530047346095
-0.14999999999999925,1.1364300138826866
-0.13999999999999924,1.2361400658762545
-0.12999999999999923,1.3412663403543412
-0.11999999999999922,1.4516297129030145
-0.10999999999999921,1.5658107068230913
-0.0999999999999992,1.6834634832997992
-0.08999999999999919,1.8011900885832635
-0.07999999999999918,1.9167286617595958
-0.06999999999999917,2.0321052327613014
-0.059999999999999165,2.1471918424750918
-0.049999999999999156,2.259088274622553
-0.03999999999999915,2.3595037883525114
-0.02999999999999914,2.448083870916487
-0.01999999999999913,2.5231790392181432
-0.00999999999999912,2.579422949808633
8.881784197001252e-16,2.6108518625971273
0.010000000000000897,2.6212332140199783
0.020000000000000906,2.6064903141502667
0.030000000000000915,2.5679824521211807
0.040000000000000924,2.5106079052018857
0.05000000000000093,2.4399632442767825
0.06000000000000094,2.3608157963143683
0.07000000000000095,2.2751645971456136
0.08000000000000096,2.184585070621383
0.09000000000000097,2.092142700513053
0.10000000000000098,1.999037201028941
0.11000000000000099,1.9059836953552516
0.120000000000001,1.814033638896384
0.130000000000001,1.7238295688424419
0.140000000000001,1.635070283809304
0.15000000000000102,1.5489137382860247
0.16000000000000103,1.4654884983621819
0.17000000000000104,1.3852640896863926
0.18000000000000105,1.3080570125725428
0.19000000000000106,1.233954743971501
0.20000000000000107,1.1632794818423136
0.21000000000000107,1.095548568984203
0.22000000000000108,1.0313775281797355
0.2300000000000011,0.9703813446846353
0.2400000000000011,0.9125448613872175
0.2500000000000011,0.8578930488209836
0.2600000000000011,0.8062925391996112
0.27000000000000113,0.7575914742797137
0.28000000000000114,0.7116478229760801
0.29000000000000115,0.6684310326897359
0.30000000000000115,0.6277760165532523
0.31000000000000116,0.5895247691566735
0.3200000000000012,0.5535647891645289
0.3300000000000012,0.5198148829962571
0.3400000000000012,0.4881550057605803
0.3500000000000012,0.45845845916934586
0.3600000000000012,0.4306140563614379
0.3700000000000012,0.40450608818857614
0.3800000000000012,0.38003100388585076
0.39000000000000123,0.3570921572635538
0.40000000000000124,0.33559123944768915
0.41000000000000125,0.31544054654501125
0.42000000000000126,0.29655933540158863
0.43000000000000127,0.27886314178269234
0.4400000000000013,0.26227331754111965
0.4500000000000013,0.24672827478873346
0.4600000000000013,0.2321486951404246
0.4700000000000013,0.21848392342548695
0.4800000000000013,0.2056686610313386
0.4900000000000013,0.19364931410025643
0.5000000000000013,0.18236996528942603
0.5100000000000013,0.17179124582644476
0.5200000000000014,0.1618606030446401
0.5300000000000014,0.15253614715561822
0.5400000000000014,0.14378551569314507
0.5500000000000014,0.13556161131811148
0.5600000000000014,0.12784067676377095
0.5700000000000014,0.12058256888553079
0.5800000000000014,0.11376336544501676
0.5900000000000014,0.10734577454927235
0.6000000000000014,0.10131889952454143
0.6100000000000014,0.09564830436321617
0.6200000000000014,0.09031375805271895
0.6300000000000014,0.08529245593617447
0.6400000000000015,0.08056717914261255
0.6500000000000015,0.07612257463046575
0.6600000000000015,0.07192698902039298
0.6700000000000015,0.0679714613215928
0.6800000000000015,0.06424510795188927
0.6900000000000015,0.0607383609302313
0.7000000000000015,0.057427392574418486
0.7100000000000015,0.05430999325018966
0.7200000000000015,0.051369338125922655
0.7300000000000015,0.04859504257717424
0.7400000000000015,0.045974126646525997
0.7500000000000016,0.04350394595895854
0.7600000000000016,0.041172712262624186
0.7700000000000016,0.03896582667705957
0.7800000000000016,0.03688700951015776
0.7900000000000016,0.034920524043523096
0.8000000000000016,0.03306311803069028
0.8100000000000016,0.031307703467725295
0.8200000000000016,0.02964598752205246
0.8300000000000016,0.028077207468049065
0.8400000000000016,0.026593317518947706
0.8500000000000016,0.02519160812275767
0.8600000000000017,0.023862468068114442
0.8700000000000017,0.022606910810358677
0.8800000000000017,0.021423125441414902
0.8900000000000017,0.020297964320031437
0.9000000000000017,0.019235899911330834
0.9100000000000017,0.018227139593958375
0.9200000000000017,0.01727599897161085
0.9300000000000017,0.016368534838622842
0.9400000000000017,0.015515244053080723
0.9500000000000017,0.014705122602056241
0.9600000000000017,0.013937208929838445
0.9700000000000017,0.013212852612201769
0.9800000000000018,0.012524444233370227
0.9900000000000018,0.011869759732421178
1.0000000000000018,0.009934710202702337
