date,martin17_EP,M1_rn,M2_rn,M3_rn,M4_rn,cluster
2019-04-11,0.04215397214841228,-0.04299590119919133,0.04215397214841228,0.5150357937479877,5.207500638111266,1
2019-04-15,0.03753490302082855,-0.024882088166782418,0.03753490302082855,0.8582966964448703,5.88822336677005,1
2019-04-29,0.04866279271207025,-0.03101029991092938,0.04866279271207025,-0.548207471051638,5.7360127117594315,1
2019-05-02,0.03889339561393984,-0.01475749069856986,0.03889339561393984,0.7004780040926459,5.559441300858925,1
2019-05-07,0.03938825922758816,-0.0341577373911672,0.03938825922758816,0.5878942121041989,5.213299518420685,0
2019-05-09,0.04308015162940297,-0.02752261988568895,0.04308015162940297,0.2727905446349608,5.212735061472073,0
2019-05-10,0.03767571681670809,-0.022639038583752033,0.03767571681670809,0.8163074048375838,5.442867994112039,0
2019-06-04,0.06032045228232621,-0.013011895172958643,0.06032045228232621,0.5631094977927488,3.7632160117207096,0
2019-06-06,0.05561950732823408,-0.007299999944013161,0.05561950732823408,0.5386505625579462,4.547996799576777,0
2019-07-25,0.08484009492678726,-0.015526995826909695,0.08484009492678726,0.6004378530824135,3.407507798030761,0
2019-08-29,0.05824289795794233,-0.008952876299958223,0.05824289795794233,0.5635176380144471,3.857316653385721,0
2019-09-12,0.0404710193741675,-0.013375394669232335,0.0404710193741675,0.5917148140154085,4.618460072367421,0
2019-10-03,0.07100385572024312,-0.018165641856210363,0.07100385572024312,-0.09113458599477157,4.010479529254813,0
2019-10-09,0.06135839294049148,-0.011392171909326135,0.06135839294049148,0.3313870431076175,3.8466525341590625,0
2019-10-12,0.06915246129737873,-0.006533139844877092,0.06915246129737873,-0.203642164147344,3.9124338011327766,0
2020-01-01,0.04331759171377346,-0.006452796477682404,0.04331759171377346,0.20021474555549928,4.898772670315294,1
2020-01-05,0.035608575621330345,-0.015626680841521245,0.035608575621330345,0.2087811291921578,4.4782075611899135,1
2020-01-06,0.03985950401946376,-0.013958928810419352,0.03985950401946376,0.3235366639783182,4.809022447799736,1
2020-01-07,0.037753024924954706,-0.014849401583180127,0.037753024924954706,0.2099639619907169,5.0682246596035885,1
2020-01-09,0.043505254898955174,-0.010285816593582547,0.043505254898955174,0.49271745735276196,5.019253829482987,1
2020-01-12,0.03838383819801372,-0.015905642802789638,0.03838383819801372,0.21698244241811807,5.588130603678089,1
2020-01-13,0.03938296880670979,-0.009461214142600843,0.03938296880670979,0.4984852408888472,4.779994869579925,0
2020-01-18,0.05141316167272354,-0.023706938424695193,0.05141316167272354,0.10147672630705934,5.218440900140607,0
2020-01-20,0.049135753319690265,-0.021879992183760646,0.049135753319690265,0.515666541571062,4.367665927273174,0
2020-01-21,0.0444959570422952,-0.015864444147665913,0.0444959570422952,0.303099314078994,4.965739193746225,0
2020-01-25,0.030974676761780378,-0.023588419145005854,0.030974676761780378,0.4965916333322685,4.160101971080827,1
2020-01-28,0.039861200699647936,-0.004787215244372436,0.039861200699647936,0.44956952345919216,4.832263502025726,0
2020-02-10,0.053804508986382255,-0.026348159894608536,0.053804508986382255,0.18788173111511322,4.481372082356812,0
2020-02-11,0.047270833467407763,-0.03868982807698748,0.047270833467407763,0.1696885081385014,3.710664587141879,0
2020-03-06,0.041107482985505206,-0.024084514255035036,0.041107482985505206,0.4054513850386025,4.156860033007805,0
2020-03-07,0.0482839022133562,-0.017638608423762275,0.0482839022133562,0.48589825601273035,4.701974494439951,0
2020-03-16,0.17975679103450254,-0.11222133167322448,0.17975679103450254,0.38752188893429257,2.563345133823691,0
2020-03-29,0.09001522375941269,-0.041658440338834035,0.09001522375941269,0.28245892193056893,3.102036745464538,0
2020-04-02,0.07499182187421262,-0.028417403383856343,0.07499182187421262,-0.11699670041799817,4.000338904012402,0
2020-04-04,0.07997475086402045,-0.03044062980102849,0.07997475086402045,0.03051170732191277,3.731034333431929,0
2020-04-06,0.0759180249216543,-0.03538872484318903,0.0759180249216543,0.14148203791319547,3.775752437719951,0
2020-04-07,0.09401844996571984,-0.03811152323513227,0.09401844996571984,-0.008418178346884525,3.7546775137577417,0
2020-04-10,0.08712908749586606,-0.045425098799996386,0.08712908749586606,0.12890130269628636,3.585279519965496,0
2020-04-12,0.08677887232794426,-0.04634515790609528,0.08677887232794426,-0.23008665489890126,3.8821544622329833,0
2020-04-13,0.08421590607247248,-0.03652864673760414,0.08421590607247248,-0.004675337819693644,3.8980938263885467,0
2020-04-17,0.07480010034158452,-0.01587981410338868,0.07480010034158452,0.26855719926828064,3.4964125836687754,0
2020-04-19,0.07466846261822166,-0.014798084200952202,0.07466846261822166,0.3891573378863577,3.4438744225888622,0
2020-04-21,0.07981108511761849,-0.041538749408510156,0.07981108511761849,-0.18881848743294644,4.021160146663554,0
2020-04-22,0.06784967858370576,-0.04173545368323353,0.06784967858370576,0.008285739972828434,3.7857053500833935,0
2020-04-26,0.05866527619971782,-0.025495491592764263,0.05866527619971782,0.051928982438290826,4.319155690979204,0
2020-04-29,0.07216407825600174,-0.0242097628370051,0.07216407825600174,0.032082480445773276,4.180799700993146,0
2020-05-04,0.06434027011095718,-0.0281806165355577,0.06434027011095718,-0.0636415067784764,4.1937102027485365,0
2020-05-06,0.06112025093793925,-0.02920334728316773,0.06112025093793925,-0.06898639076572079,4.266041188685584,0
2020-05-07,0.055493293526851645,-0.03597785876113839,0.055493293526851645,-0.2405456260460616,4.34319239396344,0
2020-05-08,0.06289314654482298,-0.03698140644908249,0.06289314654482298,-0.40288268057420473,4.632190546935403,1
2020-05-28,0.040683617296684155,-0.014062129114208802,0.040683617296684155,0.43307862974973865,4.645811150956219,1
2020-06-01,0.05143786428131898,-0.010875545324709537,0.05143786428131898,0.2385421575938244,4.849471401028652,0
2020-06-02,0.052496443680010454,-0.008652456169089773,0.052496443680010454,0.4026662299040018,4.820002835547448,0
2020-06-03,0.05111190088095627,-0.014571017388289809,0.05111190088095627,0.30951617490546546,4.856844226920305,0
2020-06-04,0.05392321002526529,-0.014527793788972676,0.05392321002526529,0.19070449395433323,4.860523853664916,0
2020-06-07,0.04579199891198832,-0.012344772825104572,0.04579199891198832,0.16178379110966082,5.439123641037628,0
2020-06-08,0.04828078406940654,-0.016386452666067558,0.04828078406940654,0.08112685536558117,5.207442558601985,1
2020-06-09,0.04496015917591903,-0.012766476234811919,0.04496015917591903,0.16987493935086934,5.3627903954339455,1
2020-06-10,0.04557235123700075,-0.019498381091144545,0.04557235123700075,0.062012070824796504,5.315585779059879,1
2020-06-11,0.05022136626971627,-0.01840207935947115,0.05022136626971627,0.18118236564585766,4.885562237767201,1
2020-06-14,0.0486045009894262,-0.026337630886387825,0.0486045009894262,-0.2045102569134735,5.175414797866632,1
2020-06-15,0.0546765402946546,-0.021398822114530258,0.0546765402946546,-0.030689819430418024,4.776654928256092,1
2020-06-16,0.0502656860974737,-0.024122477509591414,0.0502656860974737,0.16617757038156133,4.922531087987245,1
2020-06-17,0.044843635252330705,-0.02639368265273627,0.044843635252330705,-0.10199060740895471,5.14938574525131,1
