Returns,BP_NB6,BP_NB7,BP_NB8,BP_NB9,BP_NB10,BP_NB11,BP_NB12,BP_NB13,BP_NB14,BP_NB15
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.99,-8.212541336912256e-05,-0.00029497262203664025,-0.0004612449531009529,-0.0005494800126879545,-0.0004996728863213196,-0.0002974946413936625,-0.0001853162237187303,-0.0001337094059968721,-0.00010356578843560226,-9.311114367017241e-05
-0.98,-0.00017238799327980785,-0.0006097604715801263,-0.0009486377407638983,-0.0011285665141974807,-0.0010298490937194864,-0.000619037794195452,-0.0003879727583088211,-0.00028120905475163366,-0.0002187168045695515,-0.0001970912238250837
-0.97,-0.0002713698655842571,-0.0009454069328748931,-0.0014633486113209571,-0.0017385401923893,-0.00159200927485113,-0.0009661313748982525,-0.0006091700007488721,-0.000443504776180584,-0.00034632198474271946,-0.00031276121674264065
-0.96,-0.000379268624915852,-0.0013025729035680603,-0.0020061414110016202,-0.002380224875819059,-0.00218712261672592,-0.0013396231701013747,-0.0008494014924137498,-0.0006208563134429596,-0.00048644098307780464,-0.0004400674658902721
-0.95,-0.0004955832503575859,-0.001681220571283302,-0.0025770430636066406,-0.0030536173470943604,-0.002815225655091701,-0.00173916194841157,-0.001107873285754371,-0.0008121715234651515,-0.0006376744521140068,-0.0005773838787259287
-0.94,-0.000618780037249403,-0.0020802769794206664,-0.0031749919316118058,-0.0037574935138603555,-0.0034749741719863197,-0.0021626177924596317,-0.0013818863403751579,-0.0010143620750784508,-0.0007964730992493364,-0.0007207698917421571
-0.93,-0.0007463717868134628,-0.0024977111849400074,-0.0037979172599585677,-0.004489497477253965,-0.004163745385166173,-0.002606217829738352,-0.0016669826270466592,-0.0012224965475349221,-0.0009573022306973843,-0.0008641473303083919
-0.92,-0.0008751869784213547,-0.00293080142273438,-0.004443016632708702,-0.005246452423085344,-0.0048779929307591905,-0.003065010727658788,-0.001957442297212485,-0.0014303201485683012,-0.0011131996794843833,-0.000999899844148745
-0.91,-0.0010013511639975943,-0.0033761138678922104,-0.005106732741267431,-0.006024334710768294,-0.005613218077805923,-0.003532832655385148,-0.0022462489563982563,-0.0016302192674514375,-0.0012557382978518271,-0.001118832876164633
-0.8999999999999999,-0.001120594303782279,-0.003829807514328363,-0.0057850700466038525,-0.006818628717414949,-0.006364374840319442,-0.004002837400749241,-0.0025256572634541436,-0.0018138149806002613,-0.0013756632701748264,-0.0012108585011417596
-0.8899999999999999,-0.0012282103884392861,-0.004287590606044198,-0.006473548159584897,-0.007624274767538994,-0.0071258114257669244,-0.004467424136154461,-0.0027871178575213187,-0.0019718857670926286,-0.0014628099794086425,-0.001264907619267995
-0.8799999999999999,-0.0013194754992420373,-0.004745135826696138,-0.007167633382254067,-0.00843615270205718,-0.007891822071513203,-0.004918958733168719,-0.0030220494724239634,-0.0020951748319668188,-0.00150697097014311,-0.0012698616254966343
-0.8699999999999999,-0.0013898503447356534,-0.005198279376310295,-0.007862944914164281,-0.009249313058648009,-0.008656911299310722,-0.005350121587694359,-0.0032222126735146975,-0.002174781704061126,-0.0014983171093002653,-0.0012150053621486569
-0.8599999999999999,-0.001434756514337666,-0.005642792880382098,-0.008555015717271689,-0.01005870942201187,-0.009415489762814859,-0.0057535169893670945,-0.003379295704111063,-0.0022017314779611465,-0.0014269367526350838,-0.0010895328697997568
-0.8499999999999999,-0.0014500018274471377,-0.006074804920752933,-0.009239730501126954,-0.010859689284512057,-0.010162434442734774,-0.0061224061217273135,-0.0034856998639611865,-0.0021677965457261024,-0.001283718692388055,-0.0008834965591678974
-0.8399999999999999,-0.0014318293994611312,-0.006490845434022775,-0.00991337052525199,-0.01164804450580905,-0.010893147011634704,-0.006450788146569229,-0.0035346293943173085,-0.0020655924623463355,-0.0010604566506845607,-0.0005879204118743242
-0.8299999999999998,-0.001376857590381465,-0.0068877804823468365,-0.010572544070926563,-0.012419933732662283,-0.011603466305652881,-0.006733291971784821,-0.003519979618916746,-0.0018884634250412777,-0.0007497283094937173,-0.00019467116659029648
-0.8199999999999998,-0.0012821506726277301,-0.007262877536586256,-0.01121425290949328,-0.013171957187318735,-0.012289754429461142,-0.006965293979428874,-0.0034364665828139707,-0.0016306201181927101,-0.0003450453051827667,0.0003033793039659157
-0.8099999999999998,-0.00114556532834102,-0.007614146560425313,-0.011836246220312855,-0.013901553478019834,-0.012949349813716518,-0.007143512964420559,-0.003280266365569688,-0.0012878099110374098,0.00015842544167673798,0.0009115777960688399
-0.7999999999999998,-0.0009654094025242956,-0.007939992030326535,-0.012436656171259372,-0.014606591788572201,-0.013580103396316962,-0.00726541375765928,-0.003048383266287965,-0.0008566603001051513,0.0007645633722950123,0.0016342417494571045
-0.7899999999999998,-0.0007404633782208326,-0.008239227738701619,-0.013014011626389948,-0.015285387666425036,-0.014180397496075133,-0.007329238482499659,-0.0027386882420519835,-0.00033472237838559746,0.0014762446915464618,0.0024746041402775505
-0.7799999999999998,-0.00047019196751109464,-0.008511281534233932,-0.013567449807413569,-0.015936940587234508,-0.014749417395319424,-0.00733436654433589,-0.0023503085989528445,0.0002791186832600768,0.002294898741786124,0.003434334947908214
-0.7699999999999998,-0.00015463107328207766,-0.008756074562285929,-0.014096588614358167,-0.01656079144018254,-0.015286989803585149,-0.007281112012685089,-0.0018834176221237497,0.0009848592796627635,0.0032207357011143516,0.004513783430228268
-0.7599999999999998,0.00020553138794434904,-0.008974094176228001,-0.014601600802324475,-0.01715710616340824,-0.01579367900335351,-0.007170856187940921,-0.0013393823726534856,0.0017812187522000126,0.004252572434405153,0.005711788542632122
-0.7499999999999998,0.00060929164032156,-0.00916604886641888,-0.015082852424218324,-0.017726271326366692,-0.016270326827429286,-0.007005457622037489,-0.0007201407470137549,0.0026662850464168825,0.005388520736966835,0.007026415351288846
-0.7399999999999998,0.0010549394478242444,-0.009333250454301648,-0.015541299369804355,-0.01826933894338689,-0.016718560314694177,-0.006787920046658116,-2.8921549014211615e-05,0.00363675791673339,0.006625170714077425,0.00845407485322221
-0.7299999999999998,0.0015401042059506192,-0.00947755856197456,-0.01597842760693138,-0.018787960200919142,-0.017140716936508645,-0.006522303594334301,0.0007298426167253624,0.004688034423502681,0.007957677293335106,0.009989613515019653
-0.7199999999999998,0.00206211307859391,-0.009601012175207261,-0.016395867246589365,-0.019283953856269874,-0.017539353478558995,-0.006213095142900969,0.0015511792678928697,0.0058148962167983926,0.00938049185185604,0.011627095387727963
-0.7099999999999997,0.0026177540108219778,-0.009706056682229933,-0.01679562735386214,-0.019759570014140165,-0.017917547258437392,-0.00586560861810729,0.0024291402284015713,0.00701104830395504,0.010886861329000852,0.01335926009953587
-0.6999999999999997,0.003203432774275083,-0.009795375934386388,-0.01717991905303626,-0.020217292767635807,-0.018278671806601404,-0.005485702450102482,0.0033570941510151354,0.008269417771458858,0.012469142091571617,0.015177855594629888
-0.6899999999999997,0.0038152004461544067,-0.00987185364301827,-0.017551113493597007,-0.02065979394656645,-0.018626344659133254,-0.005079720844937138,0.004327779703775788,0.009582202221340602,0.014118844817540051,0.01707368161132851
-0.6799999999999997,0.004448611702797553,-0.009938703811666071,-0.017911876075241757,-0.02109008434476786,-0.01896460009206651,-0.004654727487249626,0.005333046196241068,0.01094059147531959,0.01582632837963466,0.019036255794328796
-0.6699999999999997,0.005099027572203061,-0.009999155780402173,-0.018264836464950855,-0.02151114499834547,-0.019297469265855734,-0.004217969118333849,0.0063644157278655526,0.01233534650883103,0.017581412798241353,0.02105446655883515
-0.6599999999999997,0.005761461520992554,-0.01005659624590779,-0.018612735062119943,-0.02192609220008886,-0.019629168455273,-0.0037771293879639944,0.007412801466866979,0.013756496983686693,0.019373046168818263,0.023116209478721752
-0.6499999999999997,0.006430529716119994,-0.01011460672652782,-0.018958460584417112,-0.022338220586143404,-0.019964148212464266,-0.003340401875893273,0.00846841854969365,0.015193239467060317,0.021189186358057888,0.025208253954112785
-0.6399999999999997,0.007100735792110281,-0.010176665900353255,-0.019304738445505294,-0.02275065508454417,-0.020306696678880406,-0.0029159834936679143,0.009521313268021917,0.016634480742920787,0.023017374205606636,0.027316852200222456
-0.6299999999999997,0.007766454524986891,-0.010246153334784982,-0.019654133465926437,-0.023166354995479893,-0.02066094399570832,-0.0025120889172006063,0.010561335867013308,0.01806879990127559,0.02484468273449374,0.029427677641062543
-0.6199999999999997,0.008421823314145382,-0.010326445519248446,-0.02000914898768123,-0.02358822608225806,-0.021030989616013598,-0.002137124392960821,0.01157794301148779,0.019484232274716552,0.02665747477919838,0.0315255571491986
-0.6099999999999997,0.00906090729650503,-0.010420737996491276,-0.0203720406851973,-0.024018913093300016,-0.021420665267075208,-0.0017993875505539815,0.012560505985523638,0.020868581065202528,0.02844172624569318,0.0335948104390871
-0.5999999999999996,0.009677614593151933,-0.010532117908243568,-0.02074489165963163,-0.024460884974427805,-0.021833631220820278,-0.0015071998087454286,0.01349815711083203,0.022209246648415826,0.030182831570670535,0.03561903296754086
-0.5899999999999996,0.010265757113700886,-0.010663491145305033,-0.02112953625340661,-0.024916350626130835,-0.022273279230556428,-0.001268786786971374,0.014379905146977135,0.023493336525446083,0.03186570990060294,0.03758120151209905
-0.5799999999999996,0.010819321389103978,-0.010817299705606784,-0.021527265495028827,-0.02538693004515993,-0.02274235646534215,-0.0010917952300139287,0.015195138788543996,0.024708180356823352,0.03347534554771994,0.0394642459180127
-0.5699999999999996,0.011332135703611034,-0.010995844250539177,-0.021939163772960225,-0.025874032528323272,-0.02324339486866206,-0.0009838556517180607,0.01593301435141429,0.025840680124603183,0.03499607866634561,0.04125027829433566
-0.5599999999999996,0.011798198507594145,-0.011200945405174745,-0.022365756611363988,-0.026378463170303075,-0.023778260840793097,-0.0009520004709004447,0.01658306543826499,0.026877936146205792,0.036412264507426066,0.04292129199595851
-0.5499999999999996,0.012211692611190528,-0.011433920827344518,-0.022806988059799096,-0.026900398540560082,-0.024348125273652082,-0.001002627017725222,0.017135231691585498,0.02780726689005497,0.03770828244036513,0.044459162156522694
-0.5399999999999996,0.0125667819873753,-0.011695781347021473,-0.023262426946584012,-0.02743961866749683,-0.024953725293039117,-0.0011418379942912,0.017579485525736703,0.028615809509451248,0.03886809540891584,0.04584516340295657
-0.5299999999999996,0.012858027229545965,-0.011986809309924159,-0.0237308296868744,-0.02799501818547594,-0.02559480421209821,-0.0013747119921329307,0.01790660188153436,0.02929131427237157,0.039876090516157495,0.047060863742029835
-0.5199999999999996,0.013080185956359925,-0.012306754788385187,-0.024210347774639852,-0.028564839539034322,-0.02627037386614763,-0.001705640649961765,0.01810779089158614,0.029821752701840124,0.04071664764407867,0.04808765259436203
-0.5099999999999996,0.013228182503430252,-0.012654864631800771,-0.02469856169242043,-0.029146711632519036,-0.026978754809389882,-0.0021383746594176006,0.01817464292544203,0.030195252882656478,0.041374059892896685,0.04890664718801712
-0.4999999999999995,0.013297355460615955,-0.013029636040772173,-0.02519222838979887,-0.029737367492518183,-0.02771725027365689,-0.002675591036286288,0.018099586551670387,0.030400571560520326,0.041833030999072256,0.049499219347110816
-0.4899999999999995,0.013283548873902592,-0.013428729844442489,-0.025687196031553592,-0.030332549135925185,-0.028482032953742256,-0.003318733914721676,0.01787605689744322,0.030427265521489975,0.0420788516303718,0.049847178295721516
-0.4799999999999995,0.013182987040537336,-0.013849104091139226,-0.026178549261733578,-0.03092717046146499,-0.029268325289530297,-0.004068233363993397,0.017498263275663853,0.03026544657341447,0.04209713083717687,0.04993247686217759
-0.4699999999999995,0.012992381034016913,-0.014286919717164472,-0.02666051780354364,-0.03151521481651084,-0.03007027685572856,-0.0049233267682520865,0.01696138416854551,0.029905985015884713,0.041874010873354996,0.049737438344868386
-0.4599999999999995,0.012709038121308613,-0.014737447967158259,-0.027126387877884732,-0.0320896354653991,-0.030880844481021064,-0.005881879590992671,0.01626176651876894,0.02934072036076778,0.041396392525205924,0.04924499650593767
-0.4499999999999995,0.012330816307711207,-0.015195138107258005,-0.027568581774372176,-0.032642444123871565,-0.031691886070482955,-0.00694047932162005,0.015396837621837333,0.028562375225257213,0.04065184527634957,0.04843859929241964
-0.4399999999999995,0.011856324161093019,-0.015653445348640358,-0.027978488590439637,-0.033164520430862536,-0.03249393581035638,-0.008094110366615725,0.014365469000568155,0.027564944796188585,0.03962903146570951,0.04730266728337495
-0.4299999999999995,0.011284951601302147,-0.016104834474441977,-0.028346479320427206,-0.033645627550195026,-0.03327621362053743,-0.009336128001948824,0.013168026406409808,0.026343762866670905,0.03831778795795589,0.04582268743577749
-0.4199999999999995,0.01061680344953661,-0.016540887933112206,-0.028662032099118523,-0.03407455074727492,-0.034026774084456285,-0.010658407800831004,0.011806238474128317,0.024895383378455493,0.036709015053660726,0.043985103474814685
-0.4099999999999995,0.009852774798299397,-0.016952279690264773,-0.02891371882559592,-0.03443908022715887,-0.03473247724914345,-0.012051257344379137,0.010283325680774981,0.02321773915876233,0.034794868649896456,0.04177753624929912
-0.3999999999999994,0.00899471909720119,-0.01732866468604736,-0.029089105181218218,-0.034725896449410584,-0.035378847629444723,-0.013503176023011054,0.008604298696600579,0.021310483584314626,0.032569155316443506,0.039189226907187624
-0.3899999999999994,0.008045323125679335,-0.01765887091123444,-0.0291749675145763,-0.03492080982436571,-0.035950336371667536,-0.015001131807625327,0.0067757129138719735,0.019174771256451822,0.03002713309202567,0.03621084731666361
-0.3799999999999994,0.0070082273222347325,-0.017930855570933404,-0.029157265254856318,-0.03500872594885931,-0.0364302700150131,-0.01653042336066075,0.004805874162048742,0.016813517135083424,0.027165833911293312,0.032834876977082324
-0.3699999999999994,0.0058880290100907125,-0.018131788891261463,-0.029021247850589543,-0.03497376086670009,-0.03680096957968071,-0.018074755859723388,0.002704825608748606,0.014231435339269415,0.023984158916376105,0.029055742935457582
-0.3599999999999994,0.004690219774824481,-0.018248214799083205,-0.02875164331622864,-0.03479944702465386,-0.03704397240877429,-0.019616442467985162,0.0004842104645395286,0.01143495704975462,0.020482854187099667,0.024869838924697515
-0.3499999999999994,0.003421108792343526,-0.018266237073495544,-0.02833287479184186,-0.03446896983674293,-0.03714028834060836,-0.0211366423590177,-0.0018428938550757966,0.008432127987334514,0.01666447550515457,0.020275541086918505
-0.3399999999999994,0.0020878329180799584,-0.018171630370382396,-0.027749200214564857,-0.03396531729946622,-0.037070556314958356,-0.022615461211319018,-0.004261983833484198,0.005232680480207845,0.012533552116620097,0.015273446459893326
-0.3299999999999994,0.0006983530191656824,-0.01794997696025746,-0.02698488015676333,-0.033271460288389385,-0.036815235533546126,-0.024032088539007977,-0.006757165970519471,0.0018480866426314507,0.008096742601300253,0.009866612604322967
-0.3199999999999994,-0.0007387962015111389,-0.01758706222733424,-0.026024616670176998,-0.032370835511490434,-0.036355141192312736,-0.025365374979972613,-0.009311650974350043,-0.0017088560148984372,0.00336250203398876,0.0040602824264504974
-0.3099999999999994,-0.002214545907690796,-0.017069071080077144,-0.024853785737535668,-0.031247596317488996,-0.0356717154908442,-0.02659405805853317,-0.011907861295104695,-0.005424024555684077,-0.0016587931431910573,-0.002137888980583169
-0.2999999999999994,-0.0037193721937832493,-0.016382834872136383,-0.02345872334726606,-0.029886922588452675,-0.034747365921519884,-0.0276970685090767,-0.014527613445476638,-0.009282038051272503,-0.006954779484331118,-0.008717660615646543
-0.2899999999999993,-0.005250860363663158,-0.015518476370929778,-0.021827903579805404,-0.028275999881897693,-0.03356672290184113,-0.028656670567631774,-0.01715402192706532,-0.013270265625368056,-0.012517587935282647,-0.015675249168810204
-0.2799999999999993,-0.006434716583378524,-0.01432760407261143,-0.019878425245970607,-0.026335933576028238,-0.032030985557573506,-0.029267681862162644,-0.019613505170236623,-0.017111759620165163,-0.017947106361391643,-0.02248496877652428
-0.2699999999999993,-0.006900035012224683,-0.012662809479537572,-0.017526500073802097,-0.023984445412762845,-0.030035971846970568,-0.02931211686194649,-0.021689692583264877,-0.02048205572247047,-0.022789902503832615,-0.028564746493943395
-0.2599999999999993,-0.006656952063264297,-0.010517829799985196,-0.014759191059960925,-0.021202081772601796,-0.027555811955228167,-0.02874758715850508,-0.023282110612434816,-0.02327737076572939,-0.026937513017663933,-0.03380617320012016
