Returns,Q_mean,P_NB6,P_NB7,P_NB8,P_NB9,P_NB10,P_NB11,P_NB12,P_NB13,P_NB14,P_NB15
-1.0,0.0,0.0045953972156003555,0.013381079305958148,0.020240662644384844,0.01909844369168308,0.016821945450565364,0.009685275292798164,0.007160068914704828,0.0043707108460056794,0.003398856756587424,0.002932166178586489
-0.99,2.352262038586656e-06,0.005015538897962688,0.014215765697339742,0.02121717039992163,0.02008383893412245,0.01775674244892824,0.010380161297506265,0.007735208917794207,0.004777388069728216,0.0037380640407926598,0.003237002629748557
-0.98,4.6512683052968046e-05,0.00547191428236649,0.015100421526573577,0.022241796924851665,0.021119836809761514,0.018742719711584685,0.011122663860929713,0.00835408036741667,0.0052198224176083965,0.004109230184210067,0.0035717374511767294
-0.97,0.00022163500009958034,0.0059674594224542014,0.016037904002907003,0.023316952728040085,0.02220901236725491,0.01978262709640858,0.011915886884522255,0.009019817652633646,0.005700973994017844,0.004515187838342256,0.003939127635867787
-0.96,0.0006229934193977775,0.0065053326104896935,0.017031224846828594,0.024445170017130386,0.023354069288634694,0.02087935820226817,0.012763125324364228,0.009735765463529339,0.0062240323977135106,0.00495900470918292,0.004342168089763329
-0.95,0.0013318987118827196,0.0070889299270332756,0.01808355801031708,0.025629108784334425,0.0245578460630957,0.022035957533188228,0.013667876117183318,0.010505491816281048,0.006792433228897288,0.005444001672346071,0.004784110703612776
-0.94,0.0023979999198443717,0.007721901772620346,0.019198247730485795,0.026871563182196977,0.025823322430094168,0.023255627985352856,0.014633849662516973,0.011332801797158334,0.007409875675044407,0.005973772163453621,0.005268484824377697
-0.93,0.003863646110470894,0.008408170433590703,0.02037881692590316,0.028175468201133015,0.027153626100505573,0.024541738667801252,0.01566498188262874,0.012221752056863612,0.008080341235838008,0.0065522029222251504,0.005799119216713052
-0.92,0.005745479754643192,0.009151948735857781,0.02162897594451913,0.02954390666074937,0.028552039764510134,0.025897833067584326,0.016765446881830886,0.013176666087031516,0.008808113649765468,0.007183496172272129,0.006380165609571567
-0.91,0.008046267758866587,0.009957759841932305,0.022952631671672767,0.0309801165271467,0.030022008394732055,0.02732763756999343,0.01793967022677956,0.01420215031096382,0.009597800087060902,0.007872193322135101,0.0070161239275216185
-0.8999999999999999,0.010751418254963391,0.010830458247890062,0.02435389700609049,0.03248749856853614,0.03156714685296025,0.02883507034423327,0.019192342869071,0.0153031110207628,0.010454353675684055,0.008623200276582428,0.007711869310910657
-0.8899999999999999,0.01385210664280276,0.011775252038154615,0.025837100711088922,0.034069624361594955,0.033191247808492544,0.03042425060457749,0.020528435731055204,0.016484772192903556,0.011383097428863944,0.009441814450565009,0.008472681033499272
-0.8799999999999999,0.01731529646334809,0.012797726456909644,0.027406797647356925,0.03573024466101948,0.03489828997578462,0.032099508256602516,0.02195321497517098,0.01775269421392677,0.012389749644359922,0.01033375358144194,0.009304273430579631
-0.8699999999999999,0.021116208690404637,0.013903868855604318,0.02906777939269001,0.03747329814469483,0.036692446678619366,0.03386539393753125,0.023472257976263546,0.019112793547286892,0.013480450846944074,0.01130518643809417,0.010212828954812927
-0.8599999999999999,0.02522593067320644,0.015100095076308754,0.030825085252868492,0.039302920546786316,0.03857809474744139,0.03572668945901577,0.02509147001523389,0.02057136337142093,0.014661792346623218,0.012362765528250424,0.01120503348099213
-0.8499999999999999,0.029608749822662324,0.01639327733054167,0.03268401366648564,0.04122345419084926,0.04055982375580429,0.03768841865982641,0.026817101710961515,0.022135095217753222,0.01594084648571826,0.013513661907678495,0.012288113984567917
-0.8399999999999999,0.03424129321201038,0.01779077363254902,0.03465013400492229,0.04323945793473856,0.042642445601045284,0.03975585867488115,0.028655767205682678,0.023811101635563263,0.017325198648017178,0.014765602196739558,0.013469878721956378
-0.8299999999999998,0.03909180323343525,0.01930045884476307,0.03672929876680178,0.04535571753866323,0.044831004433306634,0.04193455162581139,0.030614463116860415,0.02560693990835748,0.018822981102713826,0.01612690791104768,0.014758760043247094
-0.8199999999999998,0.04413567618210851,0.020930757391216248,0.03892765616411992,0.04757725646715344,0.0471307869358622,0.04423031673680423,0.03270058826599118,0.02753063684352357,0.02044290875462205,0.017606537213481946,0.016163859969800565
-0.8099999999999998,0.04935054510532418,0.022690677691892064,0.04125166309479138,0.04990934713497266,0.049547332958341746,0.04664926287775444,0.034921964191702286,0.029590714653529113,0.022194316870084174,0.01921412919440423,0.01769499867018321
-0.7999999999999998,0.0547090789234789,0.02458984836723945,0.043708098493562345,0.052357522606086865,0.05208644650286909,0.049197801534771025,0.03728685645083458,0.03179621794266587,0.024087200844917552,0.020960050785458775,0.019362765967736627
-0.7899999999999998,0.06019798939751452,0.02663855625719268,0.046304077050063695,0.054927588753678716,0.05475420706130409,0.051882660205788786,0.039803996706918046,0.03415674180823359,0.026132258076500346,0.02285544640955585,0.021178576011571495
-0.7799999999999998,0.06580030281392524,0.028847786292855955,0.04904706327918569,0.0576256368878355,0.05755698129969053,0.054710896216386744,0.04248260560043602,0.03668246105899088,0.02834093199648374,0.02491229046532733,0.02315472523964123
-0.7699999999999998,0.07149978711046626,0.031229263251327962,0.051944885924901436,0.06045805685591559,0.06050143508361232,0.057689910947889556,0.045332416389474633,0.03938416054655698,0.030725458313415728,0.027143442738207745,0.0253044537574693
-0.7599999999999998,0.0772874915185491,0.03379549541473547,0.055005752674097796,0.063431550618675,0.06359454583543883,0.060827464466364056,0.048363699342650085,0.042273266597077544,0.03329891350552415,0.02956270682201762,0.02764201024870439
-0.7499999999999998,0.08315856053296451,0.03655982014316645,0.05823826515185169,0.06655314630297891,0.06684361521134154,0.06413169053719162,0.05158728685851293,0.04536187952073202,0.036075265592742815,0.03218489162414263,0.030182720523543958
-0.7399999999999998,0.08910086785341594,0.03953645135755826,0.06165143416384758,0.06983021272928594,0.07025628208246218,0.06761111200543492,0.05501459927681583,0.048662807165380996,0.039069427203465804,0.03502587601369677,0.032943059797712525
-0.7299999999999998,0.09511784072039803,0.04274052891239203,0.06525469514522284,0.07327047440903192,0.07384053580065646,0.07127465651717536,0.05865767133698863,0.05218959946764758,0.04229731093511635,0.03810267665495332,0.03594072877755318
-0.7199999999999998,0.10120318253031464,0.04618816981892455,0.0690579237679761,0.07688202700350823,0.07760472972478784,0.07513167255131048,0.06252917922774286,0.05595658393979811,0.04577588698802118,0.041433519047296204,0.039194733605264945
