,Overall,HV,LV
VRP_mean,-0.02511139422255674,-0.0337671420996305,0.003202287086184479
sigma2_Q_mean,0.6692394413595198,0.7369861680602742,0.4476341847419922
sigma2_P_mean,0.6943508355820766,0.7707533101599046,0.4444318976558078
n_obs,709.0,543.0,166.0
