date,log_rv_ann
2019-04-11,1.2011767061968779
2019-04-15,0.417297087914867
2019-04-29,0.29986050717022716
2019-05-02,0.3702220758539217
2019-05-07,0.3225136876073088
2019-05-09,0.3174880941781796
2019-05-10,0.24507494084015644
2019-06-04,0.5994482675432331
2019-06-06,0.5462051700188251
2019-07-25,1.2858206429325738
2019-08-29,0.45689631343036485
2019-09-12,0.17337757097756662
2019-10-03,1.5196203148175207
2019-10-09,0.3253425563185502
2019-10-12,0.5074520900374503
2020-01-01,0.19078652761164286
2020-01-05,0.2715436773108944
2020-01-06,0.27193641852127165
2020-01-07,0.42608538448213856
2020-01-09,0.3314683145773064
2020-01-12,0.4024105939154552
2020-01-13,0.31721179268020117
2020-01-18,1.0831406761442048
2020-01-20,1.0722407237753668
2020-01-21,1.0608071982682707
2020-01-25,0.2338058054526197
2020-01-28,0.21794417888764053
2020-02-10,0.4816328538047774
2020-02-11,0.4744253477690354
2020-03-06,0.6658822863661168
2020-03-07,0.4547657228721094
2020-03-16,15.779218500916967
2020-03-29,0.9058300762768637
2020-04-02,0.44853808468759904
2020-04-04,0.4705683777588233
2020-04-06,0.3163226985507461
2020-04-07,1.5290684071373661
2020-04-10,1.4636906508672998
2020-04-12,1.6173003153062615
2020-04-13,1.6176885097170908
2020-04-17,0.9237181019521667
2020-04-19,1.172314716959909
2020-04-21,1.116976649173803
2020-04-22,1.116602384543347
2020-04-26,0.7815284157611208
2020-04-29,0.37584354371642786
2020-05-04,0.5321600092882587
2020-05-06,0.4827379779165371
2020-05-07,0.5064996381336474
2020-05-08,0.6441940146123323
2020-05-28,0.2793287321460307
2020-06-01,0.6702459721385623
2020-06-02,0.8439171077803815
2020-06-03,0.8919376267998953
2020-06-04,0.9152374621695722
2020-06-07,0.7492842403687694
2020-06-08,0.7519426191043818
2020-06-09,0.3807748547557256
2020-06-10,0.307087261638564
2020-06-11,0.1425441370106977
2020-06-14,0.22328590418438474
2020-06-15,0.24300184951517043
2020-06-16,0.24171283497819165
2020-06-17,0.251989401558978
2020-06-18,0.25082551002771886
2020-06-19,0.2506060387567647
2020-06-21,0.07663045645307222
2020-06-23,0.23152030696806902
2020-06-24,0.2035638877082376
2020-07-10,0.24816366771865753
2020-07-12,0.21831328001631123
2020-07-21,0.047425934871938136
2020-07-26,0.6851883078463584
2020-07-28,0.7314100306423159
2020-08-05,0.8900052104865078
2020-08-06,0.8799576327885434
2020-08-07,0.8815124904676156
2020-08-08,0.9453405749482843
2020-08-09,0.8740805561248788
2020-08-10,0.8305922875159232
2020-08-28,0.5699498270405103
2020-08-29,0.5604929068215737
2020-09-09,2.406055683494931
2020-09-10,2.455407444936745
2020-09-11,2.2271761190494828
2020-09-12,1.982795671652071
2020-09-13,1.2918936669885495
2020-09-16,0.49124896691423475
2020-09-17,0.49090204166038826
2020-09-18,0.5836956445154665
2020-09-19,0.5310635941822834
2020-09-22,0.7249157525018765
2020-09-23,0.5885739845525761
2020-09-25,0.9844535958707088
2020-09-26,0.9864802617626368
2020-09-27,0.8293148171146791
2020-09-28,0.8232250662519224
2020-09-29,0.8240016343608686
2020-09-30,0.7722928400140899
2020-10-01,0.49007574149366184
2020-10-02,0.5007500433256012
2020-10-03,0.3268485145654983
2020-10-04,0.048293400475124024
2020-10-05,0.06011293842615631
2020-10-06,0.05774266830616944
2020-10-07,0.11201779091409711
2020-10-08,0.1100285982703691
2020-10-09,0.12724428299157806
2020-10-10,0.2012996355732077
2020-10-11,0.1961090861755356
2020-10-12,0.18322772245572694
2020-10-19,0.1350670255158397
2020-10-21,0.16093500206018915
2020-10-25,0.37962459412211036
2020-10-27,0.3904320227291279
2020-10-28,0.3910300014328287
2020-10-29,0.4457954576966416
2020-10-30,0.40960842706172673
2020-11-01,0.14551034058871978
2020-11-02,0.16304458576841746
2020-11-03,0.19365527677772995
2020-11-04,0.18936269150783896
2020-11-05,0.19984227296907603
2020-11-08,0.5625163475578815
2020-11-11,0.6418673852092219
2020-11-15,0.6065205966028026
2020-11-19,0.2517645817294975
2020-11-27,1.2573056034909706
2020-11-28,1.256094851632524
2020-12-01,1.1767360431173552
2020-12-02,1.2165857744237292
2020-12-03,0.9550353719348689
2020-12-04,0.9861537703277188
2020-12-07,0.8181420835249847
2020-12-08,0.7711972220651077
2020-12-09,0.7668166121515683
2021-01-03,0.6430120504819489
2021-01-24,2.74042790678373
2021-01-25,3.2978590927382285
2021-02-16,0.48210823208029435
2021-02-27,1.6344871699919241
2021-03-05,1.2547511723583333
2021-03-06,1.1895226989475463
2021-03-11,0.7485895266862187
2021-03-14,0.8585367395171694
2021-03-15,0.9004351411910423
2021-03-16,0.7294303204130267
2021-03-18,0.5228671664386324
2021-03-21,0.4964801369440236
2021-03-23,0.3197144600012605
2021-03-24,0.2793093412705799
2021-03-27,0.5249937730759493
2021-03-28,0.4981023551048338
2021-03-29,0.48958148850112715
2021-03-30,0.7079100249782831
2021-04-01,0.6265872379429956
2021-04-04,0.9134369482195255
2021-04-05,0.7575251698079096
2021-04-06,0.75873684346392
2021-04-07,0.7528421556756926
2021-04-08,0.6872734433184375
2021-04-09,0.7643118769356849
2021-04-10,0.6999720644081432
2021-04-12,0.4592063532080051
2021-04-14,0.5088400793646484
2021-04-15,0.618835020726423
2021-04-16,0.6635203881272549
2021-04-17,0.5641777446301784
2021-04-19,0.6006856440382984
2021-04-20,0.6021060428288196
2021-04-22,0.8153007967995737
2021-04-23,0.6196279433051904
2021-04-24,0.5329336704142614
2021-04-25,0.6631205900998115
2021-04-27,0.9870246626501844
2021-04-30,0.8017022192823986
2021-05-01,0.7858494872581326
2021-05-02,0.906681582317745
2021-05-04,1.6456336515243326
2021-05-05,1.711638846326131
2021-05-06,1.636026808698462
2021-05-07,1.559211631065884
2021-05-08,1.5016634124944284
2021-05-12,1.9868181774388016
2021-05-14,1.163724351466469
2021-05-15,1.1907773837901101
2021-05-16,1.6857382450348808
2021-05-17,1.6960493240388468
2021-05-18,1.5120990922924824
2021-05-19,1.5556013683966394
2021-06-05,1.825195486474509
2021-06-15,0.6031919459281782
2021-06-16,0.564483236529911
2021-06-18,0.7046602745810459
2021-06-23,1.708317834687663
2021-06-25,1.7782363803625167
2021-06-26,1.7955179384401097
2021-06-27,1.7972058055922857
2021-06-29,2.0069555580168226
2021-06-30,2.02012531918931
2021-07-03,1.0638067862039677
2021-07-04,1.1021795210368948
2021-07-06,1.0032635091487294
2021-07-07,0.8093170789030762
2021-07-08,0.6824442728403608
2021-07-10,0.8307335403196139
2021-07-11,0.6322285359785133
2021-07-12,0.6245186149814451
2021-07-13,0.6778447061313444
2021-07-16,0.6250112079126037
2021-07-18,0.3480946722794038
2021-07-19,0.3404492410563844
2021-07-20,0.4066043364220352
2021-07-21,0.41380150451172326
2021-07-22,0.8092577379955146
2021-07-23,0.7166534842278561
2021-07-24,0.7629010163249084
2021-07-25,0.7213701664652781
2021-07-26,0.711887313285053
2021-07-28,0.738392736120479
2021-07-29,0.6626728153883362
2021-08-03,0.19650294416415962
2021-08-12,0.8545643070148503
2021-08-17,0.6546036998257051
2021-08-18,0.6638697373026902
2021-08-21,0.6866490362589689
2021-08-25,0.42114974041668407
2021-08-26,0.3378241988147607
2021-08-29,0.3251662836200012
2021-09-03,0.6823888977133236
2021-09-07,0.606895828082591
2021-09-09,1.3720356337602901
2021-09-26,1.694395993958467
2021-09-27,1.668856589153328
2021-10-01,1.1440812248386125
2021-10-03,0.9653329359003603
2021-10-10,0.4637414270518088
2021-10-13,0.21007355922875384
2021-10-14,0.2427158875467525
2021-10-16,0.2972715686701979
2021-10-19,0.3218569401168942
2021-10-22,0.4714183439236279
2021-10-26,0.4670627661694385
2021-10-29,0.7947948045384455
2021-10-30,0.6296624958260247
2021-10-31,0.6285112467674772
2021-11-01,0.6131701620777844
2021-11-02,0.529812469816435
2021-11-04,0.6144497788249115
2021-11-07,0.22388583241898713
2021-11-09,0.24827896063561927
2021-11-10,0.2554065139567026
2021-11-14,0.14021374188392083
2021-11-15,0.13451191077958713
2021-11-17,0.36324467855553116
2021-11-18,0.3065034169135052
2021-11-20,0.7499930943389684
2021-11-21,0.7643484472954359
2021-11-22,0.789054120231639
2021-11-23,0.897490363090339
2021-11-25,1.0508763171835276
2021-11-29,1.0441725247756786
2021-12-03,0.8672074551472883
2021-12-04,1.0161024300118042
2021-12-05,0.9331464909306351
2021-12-08,0.42181298007355017
2021-12-09,0.402157433437453
2022-01-01,0.3008059421032296
2022-01-06,0.46199009572192884
2022-01-07,0.37873250745237197
2022-01-10,0.5095819550752726
2022-01-12,0.5991385260523079
2022-01-13,0.6509820408219291
2022-01-14,0.7033517494034497
2022-01-16,0.4805798744460341
2022-01-18,0.3433504917020041
2022-01-19,0.34040357717882963
2022-01-21,0.2654259496174051
2022-01-23,1.3745163506781926
2022-01-26,1.5272720287995127
2022-01-29,1.5753164849462593
2022-01-30,1.5633462770189297
2022-01-31,0.4980467027303334
2022-02-01,0.37233187877614904
2022-02-02,0.32250226266827214
2022-02-04,0.3324168584501866
2022-02-05,0.8710013972878701
2022-02-06,0.8505915444194736
2022-02-07,0.7313652672144328
2022-02-09,0.7482931904674649
2022-02-12,0.8442598862541606
2022-02-13,0.8419921087183273
2022-02-15,0.31459315184697495
2022-02-16,0.5638806851604891
2022-02-17,0.5424208090517544
2022-02-18,0.8146841185976708
2022-02-19,0.803358710109289
2022-02-21,0.7043512938684845
2022-02-22,0.7237268510899354
