,Overall,HV,LV
EP_hat,1.1361750873059515,1.144270017652089,1.065946390570423
mu_P,1.1618796156078384,1.1682586502715289,1.0971910714214868
mean_rf,0.02570452830188679,0.023988632619439867,0.031244680851063824
n_obs,795.0,607.0,188.0
