,Overall,HV,LV
VRP_mean,0.07890718874683798,0.053712362319076605,0.15449166803012215
sigma2_Q_mean,0.6926566115183788,0.7639188870028569,0.4788697850649438
sigma2_P_mean,0.6137494227715407,0.7102065246837803,0.3243781170348217
n_obs,116.0,87.0,29.0
