date,EMA,log_rv_ann,cluster,implied_var,VRP
2019-04-11,79.16503422881064,1.201176706196878,1,0.626710264444876,-0.5744664417520021
2019-05-02,77.59555758077524,0.3702220758539217,1,0.6021070556271405,0.2318849797732188
2019-05-09,75.8910917321458,0.3174880941781796,0,0.5759457804296968,0.2584576862515172
2019-06-06,98.02482279219144,0.5462051700188251,0,0.9608865883440536,0.41468141832522853
2019-07-25,113.25873770305544,1.2858206429325738,0,1.282754166608951,-0.00306647632362278
2019-08-29,95.53717157083057,0.4568963134303648,0,0.9127351151754317,0.4558388017450669
2019-09-12,82.7390671777278,0.1733775709775666,0,0.6845753237440555,0.5111977527664889
2019-10-03,88.54475534211075,1.5196203148175207,0,0.7840173698594249,-0.7356029449580958
2020-01-09,68.71569971522845,0.3314683145773064,1,0.4721847387353447,0.1407164241580383
2020-04-02,114.2046048145107,0.448538084687599,0,1.3042691760838563,0.8557310913962572
2020-05-07,98.40370055572976,0.5064996381336474,0,0.9683288283061728,0.46182919017252544
2020-05-28,83.5468172478896,0.2793287321460307,1,0.6980070672252264,0.4186783350791957
2020-06-04,82.68004526057595,0.9152374621695722,0,0.6835989884290888,-0.2316384737404834
2020-06-11,79.54206523655196,0.1425441370106977,1,0.6326940142095888,0.49014987719889114
2020-06-18,76.44720543795188,0.2508255100277188,1,0.584417521927242,0.33359201189952314
2020-08-06,79.67736936032895,0.8799576327885434,0,0.6348483188182287,-0.24510931397031477
2020-09-10,92.71457283019272,2.455407444936745,0,0.859599201508511,-1.595808243428234
2020-09-17,88.53168693932136,0.4909020416603882,0,0.7837859592322005,0.2928839175718123
2020-10-01,77.68718831335812,0.4900757414936618,1,0.6035299228035167,0.1134541813098549
2020-10-08,71.68917021292316,0.1100285982703691,1,0.5139337125817469,0.4039051143113778
2020-10-29,67.71881851880872,0.4457954576966416,1,0.4585838381583351,0.012788380461693505
2020-11-05,65.79070431514657,0.199842272969076,1,0.4328416774283046,0.2329994044592286
2020-11-19,68.00804492077894,0.2517645817294975,0,0.46250941739466866,0.21074483566517116
2020-12-03,84.39348199517866,0.9550353719348688,0,0.7122259803270545,-0.24280939160781423
2021-03-11,115.36223714689862,0.7485895266862187,0,1.3308445759537275,0.5822550492675088
2021-03-18,107.50981320442185,0.5228671664386324,0,1.155835993524968,0.6329688270863356
2021-04-01,95.51719567945013,0.6265872379429956,0,0.9123534670466367,0.285766229103641
2021-04-08,83.41785235331474,0.6872734433184375,0,0.6958538091239419,0.008580365805504364
2021-04-15,97.12566204731846,0.618835020726423,0,0.9433394228129918,0.3245044020865687
2021-04-22,108.35559592610028,0.8153007967995737,0,1.1740935168500317,0.35879272005045804
2021-05-06,107.13637390656486,1.636026808698462,0,1.147820261384727,-0.4882065473137349
2021-07-08,112.65250644657314,0.6824442728403608,0,1.2690587208695203,0.5866144480291595
2021-07-22,106.86155007678693,0.8092577379955146,0,1.141939088481364,0.33268135048584946
2021-07-29,106.7970745210338,0.6626728153883362,0,1.1405615126251247,0.4778886972367885
2021-08-12,108.97312434093524,0.8545643070148503,0,1.1875141828624933,0.332949875847643
2021-08-26,99.90214328634396,0.3378241988147607,0,0.9980438233205199,0.6602196245057592
2021-09-09,110.88133911641204,1.37203563376029,0,1.2294671364248764,-0.14256849733541355
2021-10-14,99.0551437917886,0.2427158875467525,0,0.9811921511611914,0.7384762636144389
2021-11-04,97.81038717318836,0.6144497788249115,0,0.9566871838969011,0.34223740507198963
2021-11-18,101.79802590588388,0.3065034169135052,0,1.0362838078335004,0.7297803909199951
2021-11-25,98.64673343295756,1.0508763171835276,0,0.9731178016992986,-0.07775851548422896
