ttm,regime,p_nb_ref,n_Q_dates,total_int_x_P_minus_Q,delta_BP_shadow_neg,delta_BP_shadow_pos,BP_int_x_P_minus_Q_denom_before_norm
27,OA,P_NB12,795,0.09848293537312013,-0.034177781269016286,0.5104136849695459,0.09848293537312013
27,HV,P_NB12,607,0.10029521586131114,-0.013415947535135586,0.4762218989969058,0.10029521586131114
27,LV,P_NB12,188,0.08936995293727237,-0.07598754783492737,0.6351319523396698,0.08936995293727237
