Returns,BP_NB6,BP_NB7,BP_NB8,BP_NB9,BP_NB10,BP_NB11,BP_NB12,BP_NB13,BP_NB14,BP_NB15
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.99,0.0,-3.894292986853026e-18,-2.632338801012236e-10,-9.038556816947257e-13,-9.878229507857849e-41,-5.005328324608578e-19,-4.9294555298959124e-11,-0.0006891106166882663,-5.20574544728882e-16,-4.7809383731806936e-14
-0.98,0.0,-2.062341433241287e-17,-6.696544619843569e-10,-2.677668558734254e-12,-1.8131420188926443e-33,-3.102256841251235e-18,-1.2941920372404858e-10,-0.0013973816515002405,-2.0980285585071862e-15,-1.5726148678946405e-13
-0.97,0.0,-8.540873255798863e-17,-1.2907886883644474e-09,-6.077052579123651e-12,-1.142862938495357e-29,-1.4966404037841733e-17,-2.580814395602416e-10,-0.002125538603122546,-6.592649223270823e-15,-3.9914725677047043e-13
-0.96,0.0,-3.146639175922741e-16,-2.2308670970294543e-09,-1.2448804077718316e-11,-4.461531204532109e-27,-6.333828058930528e-17,-4.6230272448943935e-10,-0.002874341874211334,-1.8711170052728076e-14,-9.166286703419268e-13
-0.95,0.0,-1.0642174320103485e-15,-3.6404542381510988e-09,-2.4146498387711986e-11,-4.194607450868277e-25,-2.423569977184127e-16,-7.828896703837755e-10,-0.003644588814846308,-4.9798217608903197e-14,-1.9910128562979682e-12
-0.94,0.0,-3.3492847421307474e-15,-5.735231515036718e-09,-4.520771993795745e-11,-1.662193717912659e-23,-8.511600497404034e-16,-1.2808558911243851e-09,-0.0044371159073331255,-1.2602477626662443e-13,-4.160549495732157e-12
-0.93,3.324255076773116e-07,2.416348256621075e-07,2.2560740379404412e-07,2.670518623570326e-07,3.5615519021303827e-07,2.6600461450798147e-07,2.574460334983842e-07,-0.005252399814531778,3.416718483306987e-07,2.901669987169541e-07
-0.92,1.6645768580367763e-06,1.2099545218129862e-06,1.1605407307140533e-06,1.3374926292458345e-06,1.7834001116237773e-06,1.3319830067828595e-06,1.2961623063757707e-06,-0.006090556925596229,1.7108775058904756e-06,1.4529985310297404e-06
-0.91,5.188356164954935e-06,3.7713338339277857e-06,3.6389985964041734e-06,4.169061021472622e-06,5.558718973563941e-06,4.15168708788977e-06,4.045078287780305e-06,-0.006951117007036164,5.332672288030385e-06,4.528902831201325e-06
