ttm,regime,p_nb_ref,n_Q_dates,total_int_x_P_minus_Q,delta_EP_shadow_neg,delta_EP_shadow_pos,EP_int_x_P_minus_Q_denom_before_norm
9,OA,P_NB12,795,0.03890579794191318,0.12039873902287838,0.42317719622945604,0.03890579794191318
9,HV,P_NB12,607,0.040795792047359086,0.12014509426076642,0.43771808267383483,0.040795792047359086
9,LV,P_NB12,188,0.032003919980935144,0.1287598075254904,0.3619167800464005,0.032003919980935144
