Returns,Q_mean,P_NB6,P_NB7,P_NB8,P_NB9,P_NB10,P_NB11,P_NB12,P_NB13,P_NB14,P_NB15
-0.8699999999999999,0.00010383236438746702,5.769629762743841e-25,7.162807316413458e-12,1.277257755898932e-07,3.5973797099483934e-09,3.160542648739844e-16,2.9327244367142844e-12,3.6489938772457736e-08,0.0023567885120793952,5.6161494705669234e-11,6.569360726877715e-10
-0.8599999999999999,0.00014984967464350165,4.241011979418102e-23,1.5251498899526444e-11,1.8033720200436788e-07,5.77796856281184e-09,1.3333419513527656e-15,6.554263948743495e-12,5.3286870364239795e-08,0.0024596118636855025,1.075918148136286e-10,1.130963905630012e-09
-0.8499999999999999,0.00020975723229792886,1.4079363925054636e-21,3.15491014664603e-11,2.530665607123112e-07,9.174056672046836e-09,5.082551264717423e-15,1.41772948995598e-11,7.726583265641809e-08,0.0025681453883846803,2.017387621140424e-10,1.9178568281730173e-09
-0.8399999999999999,0.000284757976805199,2.7069225753913986e-20,6.353775039371629e-11,3.5303640266938453e-07,1.440729592806527e-08,1.7741106274314195e-14,2.975683576758243e-11,1.1127259102382504e-07,0.002682775692921986,3.7073707622593073e-10,3.2061230858438897e-09
-0.8299999999999998,0.0003721038330137118,3.493432627046184e-19,1.248169513043623e-10,4.896969268116246e-07,2.2390268220767802e-08,5.732736103760492e-14,6.074162706431176e-11,1.5919501244893912e-07,0.002803920370333787,6.685759035493974e-10,5.2877085015719505e-09
-0.8199999999999998,0.00048049095621117467,3.3273529703993823e-18,2.395816941452688e-10,6.755256802055348e-07,3.4450680488350254e-08,1.7303127948982476e-13,1.2082812983166909e-10,2.2631465010719673e-07,0.002932030877798483,1.1845027733224033e-09,8.609535263700426e-09
-0.8099999999999998,0.0006076790395010607,2.494904157855686e-17,4.5002811124612164e-10,9.269199515944178e-07,5.2503740170730483e-08,4.915012931996626e-13,2.3464727517790956e-10,3.197672211302826e-07,0.00306759571922158,2.0638189480282993e-09,1.3848277254453215e-08
-0.7999999999999998,0.0007555419624938873,1.5419487074309507e-16,8.283901193771786e-10,1.2653302468478334e-06,7.928962178545142e-08,1.3222361160854505e-12,4.45587790160495e-10,4.49142810559118e-07,0.003211143968880082,3.5397166721128605e-09,2.2017811525785294e-08
-0.7899999999999998,0.0009287836334789189,8.125535398099434e-16,1.4961888834509698e-09,1.7186942538643888e-06,1.1869827712083123e-07,3.387009700258221e-12,8.286226631019887e-10,6.272645771514134e-07,0.0033632491772753103,5.981416063130495e-09,3.46222232326763e-08
-0.7799999999999998,0.0011225843745843124,3.745847809358638e-15,2.6545545675287462e-09,2.3232439841517256e-06,1.762106923141709e-07,8.29955125650037e-12,1.5109888366616624e-09,8.711945301779317e-07,0.0035245337058763863,9.966093740992182e-09,5.3871794443969766e-08
-0.7699999999999998,0.0013389607825354426,1.5410632097387902e-14,4.6313155261098095e-09,3.1257747331571144e-06,2.594944331448164e-07,1.953258818202065e-11,2.705010131735326e-09,1.2035269781037116e-06,0.0036956735437908106,1.6385172088775455e-08,8.298539578381719e-08
-0.7599999999999998,0.0015891926910141085,5.748010193142228e-14,7.953157493738814e-09,4.1864836132768275e-06,3.7920240688251595e-07,4.4304074024532637e-11,4.759434942910099e-09,1.6540449798610771e-06,0.003877403666709431,2.6599737060106082e-08,1.266105242604653e-07
-0.7499999999999998,0.001873328270849352,1.968620715501973e-13,1.3454819182932419e-08,5.5825082409914255e-06,5.500377659767032e-07,9.714723618037928e-11,8.238633826881455e-09,2.2618331012082903e-06,0.004070524006897534,4.2665534571649794e-08,1.914023892957697e-07
-0.7399999999999998,0.002173486704126411,6.255556312612639e-13,2.244238710865476e-08,7.412323348944372e-06,7.921654646374819e-07,2.0648413705494924e-10,1.4043203006039503e-08,3.077961634119092e-06,0.004275906112728252,6.765562300946284e-08,2.868165589451064e-07
-0.7299999999999998,0.0025211897065420385,1.8602189621317044e-12,3.69347741343499e-08,9.801185390695124e-06,1.133072972273096e-06,4.264276291234052e-10,2.3591392850508474e-08,4.168883931215987e-06,0.004494500587499529,1.061189204857854e-07,4.261864998463586e-07
-0.7199999999999998,0.0029016980189024884,5.214144388781939e-12,6.001705361789602e-08,1.2907853468903454e-05,1.6100100304984332e-06,8.574827079719693e-10,3.9088910708401465e-08,5.620720525790067e-06,0.004727345410302372,1.647263241238309e-07,6.281788098175755e-07
-0.7099999999999997,0.003317223117413304,1.3860106257170894e-11,9.635230045923954e-08,1.6932860133171115e-05,2.2731712887837563e-06,1.682085280437026e-09,6.392579853435376e-08,7.5446422877058795e-06,0.0049755752568246756,2.5317373003370954e-07,9.187461892756725e-07
-0.6999999999999997,0.0037808265510224483,3.512124562883608e-11,1.529160205873117e-07,2.2128658892337462e-05,3.1898275696429136e-06,3.224408698620525e-09,1.0325424635202124e-07,1.0083611216813619e-05,0.005240431955553506,3.854343158615742e-07,1.333732610034192e-06
-0.6899999999999997,0.00428416604678103,8.521825034908892e-11,2.400404791300152e-07,2.881203796100442e-05,4.44966306339154e-06,6.0491620316645694e-09,1.648216439087709e-07,1.3420793007933439e-05,0.005523276235313954,5.814823164749959e-07,1.9223283919412785e-06
-0.6799999999999997,0.004841585299761992,1.9876261655949174e-10,3.728869693356069e-07,3.7379263287696436e-05,6.171638907983634e-06,1.1122008429252842e-08,2.601605183206111e-07,1.779002187264521e-05,0.00582560094398545,8.696490256845135e-07,2.7516270079899235e-06
-0.6699999999999997,0.005446104124022204,4.4713747148857316e-10,5.735044426640538e-07,4.832449997382113e-05,8.512780700855031e-06,2.0065870828225835e-08,4.0627331483723437e-07,2.3488777171167478e-05,0.006149045946191105,1.2898211064874203e-06,3.9126028316596636e-06
-0.6599999999999997,0.00610813677053791,9.730533691041e-10,8.736856252300321e-07,6.226216169970954e-05,1.1679381259273407e-05,3.556430797959295e-08,6.279978486398397e-07,3.089422538761323e-05,0.006495414940522273,1.8977542014129475e-06,5.527912617920597e-06
-0.6499999999999997,0.006820967427311445,2.0537843598211845e-09,1.3189001095873177e-06,7.995395489418332e-05,1.5941223611811236e-05,6.198743062497127e-08,9.613019446039922e-07,4.048299240657884e-05,0.006866694475344896,2.7708546115934883e-06,7.762026731604055e-06
-0.6399999999999997,0.007598646497486323,4.2140560517896386e-09,1.973672056821858e-06,0.00010234152057051743,2.164956653263837e-05,1.0635030121586414e-07,1.457837350029798e-06,5.2855462834040646e-05,0.007265075487536246,4.015882476620859e-06,1.0834323115679788e-05
-0.6299999999999997,0.008439955339229789,8.423020583427453e-09,2.9288831482166095e-06,0.00013058573477445128,2.9259800317770377e-05,1.7976217088993347e-07,2.191188489204437e-06,6.876555859992563e-05,0.007692977741947715,5.779156297856915e-06,1.5035932597988353e-05
-0.6199999999999997,0.009347222523699943,1.643076864814695e-08,4.311625508571681e-06,0.00016611391156939995,3.935987906349928e-05,2.99592205438541e-07,3.2653872442190817e-06,8.915713212150386e-05,0.008153077612589047,8.259996662188843e-06,2.075131411894604e-05
