Returns,EP_NB6,EP_NB7,EP_NB8,EP_NB9,EP_NB10,EP_NB11,EP_NB12,EP_NB13,EP_NB14,EP_NB15
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.99,-9.062774872377728e-17,-1.9387373605389804e-10,-1.2885341503724893e-07,-1.7645722215135138e-08,-5.441922664062795e-13,-1.2040411867373424e-10,-2.838892034573741e-07,-0.00123051563673904,-4.5857857812038846e-10,-6.0256699204962e-09
-0.98,-4.1065587760706253e-16,-5.001411970918643e-10,-2.943033343574826e-07,-4.176939317402457e-08,-1.670643432887096e-12,-3.1503591144888657e-10,-6.351422209885875e-07,-0.0024918263221210663,-1.1684612763624613e-09,-1.4563756491133147e-08
-0.97,-1.4550916867354357e-15,-9.785295037571008e-10,-5.05979207286991e-07,-7.456911783075734e-08,-3.9390654113683905e-12,-6.257769508673506e-10,-1.068832700700187e-06,-0.0037850158968548084,-2.256046967293526e-09,-2.658072119698484e-08
-0.96,8.247163928141975e-08,5.8765375236282224e-08,-7.184732260666705e-07,-4.99292270300813e-08,8.980724162169154e-08,6.776697696136565e-08,-1.537885055861623e-06,-0.00511111313576208,8.285540251037233e-08,3.1695661630768696e-08
-0.95,7.296651890947074e-07,5.322742445384228e-07,-6.111186156615741e-07,4.3185969667720137e-07,7.946239863073836e-07,6.075595224638332e-07,-1.68238683601288e-06,-0.006470692710173711,7.61232653883096e-07,5.975349948724754e-07
-0.94,3.255416159668763e-06,2.3828998627078208e-06,7.117811778122003e-07,2.465126361608065e-06,3.5452737294439897e-06,2.715969673564116e-06,-4.883300020839497e-07,-0.007863331344156947,3.414665313719278e-06,2.8646683879280335e-06
-0.93,9.902585766617031e-06,7.255239199792776e-06,4.787991248143729e-06,7.920032372817503e-06,1.0784335591910908e-05,8.266102007842149e-06,3.7886925771197344e-06,-0.009287487578902938,1.0402128461869634e-05,8.871812105386397e-06
-0.92,2.416043034514659e-05,1.7707852805063775e-05,1.401723599471099e-05,1.9707712864932495e-05,2.63117694364727e-05,2.017199698940716e-05,1.387382160102756e-05,-0.010740103255558103,2.5393596986512368e-05,2.1791357902371987e-05
-0.91,5.073051713881843e-05,3.7188221158783924e-05,3.163642308077228e-05,4.175127699914227e-05,5.5247793815619596e-05,4.2360123432641896e-05,3.344472939446889e-05,-0.012216650276832379,5.333410400747971e-05,4.5898043118069594e-05
-0.8999999999999999,9.501659228812279e-05,6.965855981126565e-05,6.136349483507284e-05,7.855840516062166e-05,0.00010347732316137723,7.934324532058763e-05,6.672617211969301e-05,-0.013711780439910568,9.990696172362579e-05,8.610415676454645e-05
-0.8899999999999999,0.00016443526503702468,0.00012055696449356123,0.0001083077310381713,0.000136317199202613,0.00017907736012386804,0.00013731507485374478,0.00011952640631144631,-0.015217669835965732,0.0001729124680813061,0.000149152275362903
-0.8799999999999999,0.00026676814916433916,0.00019558878790625615,0.00017782161097491025,0.0002215165843725865,0.00029052238741215453,0.00022277382641067855,0.00019793012161492548,-0.016726109953350374,0.0002805341372890001,0.00024211448390656419
-0.8699999999999999,0.0004102453898527346,0.00030078774387569347,0.00027555682940358107,0.0003410150765794569,0.0004467753175778705,0.00034259184635228996,0.0003083623250702505,-0.018228406640123263,0.00043142630832357517,0.00037246765831218864
-0.8599999999999999,0.000604424003065078,0.0004431598628101415,0.00040807287075129067,0.0005027742854312195,0.0006582440249820749,0.0005047490512379164,0.000458281349807459,-0.01971427293707198,0.0006356378261014349,0.0005488921398327112
-0.8499999999999999,0.0008585450635866959,0.0006294784192282938,0.0005816912696776712,0.0007144827882344696,0.0009349922108119352,0.0007169605580385356,0.0006548746480196075,-0.021173914823809092,0.0009028833338906896,0.0007797749810719821
-0.8399999999999999,0.0011822760134989835,0.0008668279804236768,0.000803008635270003,0.0009841751710150755,0.0012875477655251051,0.0009872963696725412,0.0009056431295389444,-0.02259709708442393,0.0012433236139588373,0.0010738842734238805
-0.8299999999999998,0.0015857339731123105,0.0011626210528449192,0.0010789089254043672,0.0013202490952443056,0.0017269280873142216,0.0013242004320818883,0.0012184154741521588,-0.023973120079697485,0.0016675893678426972,0.0014403885778415933
-0.8199999999999998,0.002079153674966831,0.0015243539713107903,0.0014163278476736303,0.0017311845365104322,0.002264278349218586,0.0017362127437234465,0.0016010803268734332,-0.025291247009330754,0.0021864309280255493,0.0018885524211488967
-0.8099999999999998,0.0026723209164044043,0.00195919065987306,0.0018218533966156568,0.0022250662517871666,0.0029102543654409047,0.002231495459784542,0.002061132033825122,-0.026541428614211188,0.0028101210333951916,0.002427217836142923
-0.7999999999999998,0.003374662589549591,0.0024740277088279947,0.002301782304810223,0.002809654878326403,0.003675120449433856,0.0028179071915162973,0.0026057355436109584,-0.027714197012097888,0.0035485480121881336,0.003064883048816735
-0.7899999999999998,0.004196085263690826,0.0030761081705298985,0.0028626962752931,0.003493083494377528,0.004569662410901799,0.0035037022704753496,0.0032423832027401534,-0.028799612245329766,0.004412096056148017,0.0038104619318352954
-0.7799999999999998,0.0051458302756299465,0.003772180383866764,0.003510657266278161,0.00428289372614067,0.0056039403390019185,0.0042965730219410225,0.003977979503121336,-0.029788721185547016,0.0054104383477270495,0.004672236901326905
-0.7699999999999998,0.006232911514865895,0.00456881712866143,0.0042515025717040165,0.005186394908736517,0.006787764892854068,0.0052040135701217,0.004819178100077635,-0.030673012976282346,0.006552994609909564,0.005658251681511237
-0.7599999999999998,0.007466100647988424,0.005472402405388915,0.005090823675347712,0.0062106433164005135,0.00813068056899056,0.006233305172546099,0.005772358994719069,-0.03144444831800823,0.0078489118345891,0.006776290911633308
-0.7499999999999998,0.008853422582808839,0.0064887584560687816,0.006033602827921773,0.007362010136569831,0.00964141538601503,0.00739109190634807,0.006843216243248622,-0.03209610975784103,0.009306528905151011,0.008033412529813936
-0.7399999999999998,0.010402668516409532,0.007623518363021299,0.007084555773386808,0.008646599087163335,0.011328438498238707,0.008683805563352387,0.00803714983680535,-0.03262156428646861,0.010933910684508446,0.009436404958703048
-0.7299999999999998,0.012121682565882193,0.00888233175707929,0.008248315009650413,0.010070472625231619,0.013200270887110411,0.010117900573723814,0.00935947628083396,-0.0330145135790182,0.012739142658795553,0.01099203632521929
-0.7199999999999998,0.01401843364524316,0.010270912024828244,0.00952946148242886,0.011639696225592392,0.015265561742880294,0.011699908525646468,0.010815466888868227,-0.03326871716053644,0.014730398172323569,0.012707106044010636
-0.7099999999999997,0.01610009320611909,0.011794353241427087,0.010931862292336232,0.013359548348659466,0.017532081642443187,0.01343566111311817,0.012409596273304107,-0.033379175472148075,0.016914958064793126,0.014587588910884762
