Returns,Q_mean,P_NB6,P_NB7,P_NB8,P_NB9,P_NB10,P_NB11,P_NB12,P_NB13,P_NB14,P_NB15
-0.7899999999999998,0.002978764511322996,8.752101445404687e-10,7.580662785803035e-07,3.741328270571276e-05,9.917879909828998e-06,3.129023703598249e-08,5.483310454147946e-07,3.289820408862212e-05,0.006153800371942331,1.0710585301971079e-06,4.788486786645091e-06
-0.7799999999999998,0.0034787171989805197,1.6313555351626023e-09,1.068775006892879e-06,4.653310530732614e-05,1.2859059642090757e-05,4.9734872055661255e-08,7.820339477280043e-07,4.073111959373531e-05,0.006431204109570121,1.4888040481244248e-06,6.353857951893089e-06
-0.7699999999999998,0.004027457475289031,2.981285276104673e-09,1.4976714643026486e-06,5.7733106482079086e-05,1.6614307494481348e-05,7.818463750989559e-08,1.1081041906915566e-06,5.032555989316047e-05,0.0067247875556572636,2.057930584813732e-06,8.396092965642292e-06
-0.7599999999999998,0.00462217957961128,5.3481672240471195e-09,2.086365546916382e-06,7.145597104623938e-05,2.139332179520611e-05,1.2162224076620533e-07,1.5603056062730575e-06,6.20548845360959e-05,0.007035713914701447,2.8292675370791146e-06,1.1050182809976949e-05
-0.7499999999999998,0.005266788382790551,9.428304080781578e-09,2.8899844321310586e-06,8.823198855929408e-05,2.7455910092606932e-05,1.8730242909552842e-07,2.1837819585872744e-06,7.636685653406891e-05,0.007365246181778578,3.8694094421103175e-06,1.448651474189534e-05
-0.7399999999999998,0.005954792629517234,1.6350392873581544e-08,3.981210082109995e-06,0.0001086951136396722,3.51230560097349e-05,2.8569753373200335e-07,3.0385811113722907e-06,9.379754554937965e-05,0.007714757124036858,5.265216645448516e-06,1.891943801226257e-05
-0.7299999999999998,0.006699653266630639,2.791840393274793e-08,5.455421050823392e-06,0.00013360174186807566,4.479023550063548e-05,4.3180079742554794e-07,4.204177895277388e-06,0.00011498765969794497,0.008085740406143203,7.129493766167569e-06,2.4617734580101772e-05
-0.7199999999999998,0.007496210986963433,4.697745909319476e-08,7.437213854310836e-06,0.00016385262255382685,5.694340119250552e-05,6.469100283239427e-07,5.785253433446768e-06,0.00014070170111921414,0.008479823007878255,9.60812715222803e-06,3.1917382273631444e-05
-0.7099999999999997,0.008344943595198835,7.795864282115292e-08,1.0088641341267893e-05,0.00020051838919271124,7.217812443664058e-05,9.61051912562721e-07,7.919048934462371e-06,0.00017185040008404562,0.008898779103542665,1.2889023421777812e-05,4.123706949745769e-05
-0.6999999999999997,0.00924742603833252,1.276814087042569e-07,1.3619580321057077e-05,0.00024486925559026265,9.122246648687378e-05,1.4162555329495823e-06,1.0784684882238054e-05,0.0002095169503160593,0.009344545597751537,1.7213263975123545e-05,5.309700419313961e-05
-0.6899999999999997,0.010208158787043838,2.065231760794101e-07,1.8300730463511324e-05,0.00029840950121673513,0.00011496424436053248,2.07094483482158e-06,1.4614924520237369e-05,0.00025498764544111237,0.009819239541160643,2.2888977110021863e-05,6.814165711234641e-05
-0.6799999999999997,0.011229739539911469,3.3010745820141694e-07,2.4479853841838786e-05,0.0003629174543329961,0.00014448346507393988,3.0057970555076265e-06,1.9710966313442125e-05,0.00030978760421800935,0.010325177683418361,3.030853247195813e-05,8.716719257629993e-05
-0.6699999999999997,0.012311378222503847,5.217177608080414e-07,3.2601992527652834e-05,0.00044049177679763587,0.00018109082593566628,4.3315112463858086e-06,2.646097689717995e-05,0.00037572237173304223,0.010864898460034526,3.996978477514771e-05,0.00011115447105004935
-0.6599999999999997,0.013460788458404616,8.157187748454776e-07,4.3234553922369866e-05,0.00053360496133886,0.00022637332049065654,6.199052493593175e-06,3.536322762226263e-05,0.00045492629649020747,0.011441186755946894,5.2502238202084894e-05,0.0001413086596204341
-0.6499999999999997,0.014672647757080425,1.2623644060585554e-06,5.709833411743399e-05,0.0006451650716437014,0.0002822481518304178,8.8130887218684e-06,4.705487850033961e-05,0.0005499187108736447,0.012057101842593728,6.86991732536603e-05,0.00017910666171407977
-0.6399999999999997,0.015957329463518286,1.9345006451228007e-06,7.510576322110666e-05,0.0007785868891645162,0.0003510263398587505,1.2449524550866177e-05,6.23476681243582e-05,0.0006636690865315149,0.012716008948778425,8.955697822056386e-05,0.00022635377935546
-0.6299999999999997,0.017315876769760638,2.9368385544101904e-06,9.840790866131414e-05,0.0009378737794397997,0.0004354876195333127,1.7478268320107233e-05,8.227202271886656e-05,0.0007996724987280122,0.013421615000351368,0.00011632316260308076,0.0002852512535532181
-0.6199999999999997,0.01875386628895051,4.4186891184332915e-06,0.0001284520691307749,0.0011277117564264109,0.0005389684661738648,2.439265332197341e-05,0.00010813139844139897,0.0009620369167011497,0.014178009151943774,0.00015055480509215425,0.00035847659503521304
-0.6099999999999997,0.020273928591879698,6.5913302006079225e-06,0.00016705214010063712,0.0013535774073705272,0.0006654653550143435,3.384728339290405e-05,0.0001415690259369042,0.0011555840427909616,0.014989708838336049,0.00019418951023242035,0.0004492789229911213
-0.5999999999999996,0.021881407107795653,9.751532130521525e-06,0.000216474339667431,0.0016218615446894746,0.0008197556689530788,4.670649918878707e-05,0.00018464964353232983,0.0013859656539828564,0.015861712196783565,0.000249631322508644,0.0005615918786596013
-0.5899999999999996,0.023585562219278787,1.4313221791884436e-05,0.00027954135994983736,0.001940010676814499,0.0010075390148998739,6.410617986076845e-05,0.0002399592951214373,0.001659797658126551,0.016799557858729986,0.00031985448209913124,0.0007001670789436849
-0.5799999999999996,0.025387113536648093,2.084983896728338e-05,0.00035975856451626366,0.002316688638574366,0.0012356020994970936,8.753222321654222e-05,0.00031072684181388465,0.001984814366176503,0.017809393284667224,0.00040852841165099006,0.0008707315286937369
-0.5699999999999996,0.027296769864644244,3.015066158508534e-05,0.0004614664978723359,0.0027619609950506763,0.001512010753836811,0.00011891980656247087,0.00040097150533056366,0.002370045804210146,0.018898053025429015,0.0005201679079183372,0.0010801729253173745
-0.5599999999999996,0.02931724892215966,4.3295282773449666e-05,0.0005900247217122418,0.003287505132364867,0.0018463331888603793,0.00016077844446066758,0.0005156815400108535,0.0028260212476506454,0.020073148544276255,0.0006603131868421259,0.0013367573729151628
-0.5499999999999996,0.03146314634216911,6.17515535829493e-05,0.0007520328587438304,0.003906849275813413,0.002249899113307117,0.00021634895668096513,0.0006610300349375712,0.0033650025579960697,0.021343171535834947,0.00083574520768556,0.0016503846826119628
-0.5399999999999996,0.03373911757362231,8.750371038922113e-05,0.0009555957242666831,0.004635644031080499,0.0027360999593033656,0.00028979977215686176,0.0008446348956540052,0.004001251342301325,0.02271761304153785,0.0010547425944240057,0.0020328871789447537
-0.5299999999999996,0.03615972281320688,0.00012321914437542013,0.0012106405757021138,0.005491970428369852,0.003320736141739879,0.0003864715601794818,0.0010758712656756774,0.0047513344403158665,0.024207101100700148,0.001327387495179996,0.002498378767106369
-0.5199999999999996,0.03873391944222693,0.00017246441227308944,0.0015292958298516607,0.006496688861960717,0.004022418030885347,0.0005131810412897746,0.001366246042788166,0.00563447277579534,0.02582356020920548,0.001665928888695095,0.003063661950587644
-0.5099999999999996,0.04148181724426506,0.00023998371571176693,0.0019263421070992934,0.007673833757700633,0.004863028146921204,0.0006785970363076967,0.0017298457470666072,0.006672939188668816,0.027580396505869388,0.002085213177249213,0.003748701531079879
-0.4999999999999995,0.04440706973800834,0.0003320562888685492,0.0024197481825031777,0.009051059265771955,0.0058682529927749335,0.000893704418174349,0.0021838708313282333,0.00789251149405946,0.02949271339739494,0.0026031934154206815,0.004577174879425387
-0.4899999999999995,0.04754188582461252,0.0004569530452513649,0.003031306377844525,0.010660141761425842,0.0070681939284836775,0.0011723747002495984,0.0027492716161879515,0.009322987691794358,0.031577563301142614,0.003241530231274198,0.005577109943585745
-0.4799999999999995,0.05089314985221843,0.0006255175780721365,0.0037873841382301005,0.01253754543563266,0.008498067554389853,0.0015320655960524064,0.0034515034073591497,0.010998770973143836,0.03385424237466652,0.004026299418229846,0.006781623560403145
-0.4699999999999995,0.05449265866752227,0.0008519023396933527,0.004719811022567447,0.014725057761046366,0.01019900720601558,0.00199467609586595,0.004321421038037505,0.012959532934452457,0.036344636568013546,0.004988823327851457,0.008229774162218307
-0.4599999999999995,0.05835779001274497,0.0011544977222798106,0.005866923116993006,0.017270502112605838,0.01221897835945711,0.0025875885082784268,0.005396336097534559,0.015250964200616123,0.03907362915053906,0.006166645589027164,0.009967544611849288
-0.4499999999999995,0.06252505634514921,0.001557100027169051,0.00727478996655529,0.020228535287607846,0.014613821984289045,0.0033449345976423795,0.006721263477419721,0.01792562247048082,0.04206958211998583,0.007604671325361398,0.012048972647250177
-0.4399999999999995,0.06702427551198961,0.002090374173316274,0.008998652516584618,0.023661538081643597,0.017448441133130974,0.004309129501830865,0.008350387598533729,0.02104388879988487,0.04536490671572055,0.009356497939814756,0.014537448247108196
-0.4299999999999995,0.07189726958602025,0.002793678708930833,0.011104604250692807,0.027640607400380404,0.020798147281871807,0.005532724626285432,0.01034878277309322,0.02467504370604397,0.04899674178287701,0.011485964671145684,0.017507199102963566
-0.4199999999999995,0.0771816038087967,0.003717334529711637,0.01367155167577931,0.03224665857803676,0.024750184073198768,0.007080639258005863,0.012794426581721911,0.028898475367482475,0.053007763168031234,0.014068952469799336,0.021044987244626282
-0.4099999999999995,0.08293202979538553,0.004925434959713224,0.016793494473772614,0.03757164657325219,0.029405447086598584,0.009032840283223735,0.01578054985083495,0.03380503274992089,0.057447152928977854,0.017195469234709302,0.025252041629479582
-0.3999999999999994,0.08920593302622454,0.006499313802980974,0.020582169909452355,0.04371991444665632,0.03488041894828574,0.011487550142693355,0.019418371701922024,0.03949853683426534,0.06237176425125497,0.02097205900328978,0.03024625305271902
-0.3899999999999994,0.09606937531700628,0.008541809884653093,0.0251701102864762,0.05080967689546719,0.0413093393533558,0.01456507497212625,0.02384027304786137,0.04609746315723863,0.067847527030983,0.025524577149579838,0.0361646588973043
-0.3799999999999994,0.10360265649803316,0.011182491659302518,0.0307141661272483,0.058974645506488635,0.04884662919831142,0.018412357603904233,0.029203466580081678,0.05373680846599195,0.07395115070258239,0.031001376804251777,0.04316624578969537
-0.3699999999999994,0.11189285812992639,0.014584033726970817,0.03739955094688435,0.06836580063552303,0.05766958674905858,0.023208373446061262,0.035694225347973126,0.06257015326342988,0.08077219585490064,0.03757695425297652,0.05143509784927143
