Date,MLB
2019-04-11,0.06075874211492195
2019-04-15,0.055761106181378965
2019-04-29,0.058513402857533856
2019-05-02,0.054424870519294774
2019-05-07,0.0591688053931584
2019-05-09,0.057835845567315906
2019-05-10,0.06191079946685997
2019-06-04,0.08708495092638807
2019-06-06,0.08516228001633425
2019-07-25,0.11544786989753034
2019-08-29,0.08675181949855307
2019-09-12,0.06412319726652047
2019-10-03,0.10687577989705538
2019-10-09,0.09465883833138825
2019-10-12,0.09455760145002771
2020-01-01,0.07133485609236992
2020-01-05,0.0698576330755178
2020-01-06,0.07089265198434173
2020-01-07,0.07408854681949091
2020-01-09,0.07694693866529446
2020-01-12,0.06546551505309754
2020-01-13,0.07118776480496854
2020-01-18,0.07906770391264474
2020-01-20,0.07017784549621982
2020-01-21,0.0712950150446179
2020-01-25,0.06296880469205217
2020-01-28,0.0677153426075561
2020-02-10,0.09156159694900366
2020-02-11,0.09484784424253768
2020-03-06,0.07512344750366032
2020-03-07,0.07486696359450914
2020-03-16,0.19904518612638408
2020-03-29,0.12988961955443368
2020-04-02,0.1108035726510342
2020-04-04,0.11455833554372188
2020-04-06,0.11222710569671572
2020-04-07,0.12465477143575678
2020-04-10,0.12611537509036924
2020-04-12,0.11811974856514387
2020-04-13,0.11809689613225258
2020-04-17,0.11943650389088323
2020-04-19,0.10775460816757036
2020-04-21,0.11020488660108708
2020-04-22,0.10170666184122691
2020-04-26,0.09314171986303088
2020-04-29,0.11058974495592411
2020-05-04,0.1050872820333532
2020-05-06,0.09580432750991189
2020-05-07,0.09618195143021716
2020-05-08,0.09465346411802708
2020-05-28,0.06529435759090514
2020-06-01,0.0741331102294478
2020-06-02,0.07329875836628377
2020-06-03,0.06685056299392311
2020-06-04,0.07610055471333022
2020-06-07,0.06432409603191139
2020-06-08,0.06549688420285177
2020-06-09,0.06871302170938258
2020-06-10,0.06801109584234802
2020-06-11,0.07047084679848353
2020-06-14,0.06545710844354699
2020-06-15,0.06685585912482533
2020-06-16,0.0671653482735193
2020-06-17,0.059976752754347454
2020-06-18,0.060271597195896656
2020-06-19,0.05246020150992815
2020-06-21,0.054148380016730766
2020-06-23,0.05875656033308527
2020-06-24,0.05991612535486371
2020-07-10,0.052170408234898324
2020-07-12,0.04979749269186092
2020-07-21,0.04615385968172788
2020-07-26,0.06088998193166702
2020-07-28,0.07006107148067729
2020-08-05,0.08317916469330659
2020-08-06,0.08347994354382698
2020-08-07,0.07897201892446148
2020-08-08,0.0808886400245886
2020-08-09,0.08037955571754618
2020-08-10,0.07554915102441886
2020-08-28,0.08071199912038213
2020-08-29,0.07834102762384079
2020-09-09,0.12119494798594008
2020-09-10,0.09924928157740717
2020-09-11,0.09504173549605754
2020-09-12,0.08056461702680462
2020-09-13,0.07904717169819123
2020-09-16,0.07241665729134315
2020-09-17,0.06906803356693339
2020-09-18,0.05812655035068122
2020-09-19,0.05268746683180589
2020-09-22,0.06396709914791954
2020-09-23,0.06158457379893926
2020-09-25,0.05810529966609869
2020-09-26,0.05295382055071551
2020-09-27,0.052902486845125524
2020-09-28,0.0560575348174641
2020-09-29,0.05952137377253841
2020-09-30,0.05397087620529203
2020-10-01,0.05201323763673188
2020-10-02,0.05103565906729377
2020-10-03,0.05221196491969486
2020-10-04,0.04965997485663917
2020-10-05,0.05417615623649226
2020-10-06,0.05119554584011689
2020-10-07,0.058615496194654323
2020-10-08,0.05903744608034711
2020-10-09,0.057273953873666524
2020-10-10,0.053507893945566175
2020-10-11,0.057154200586981715
2020-10-12,0.05384680145880224
2020-10-19,0.0418143209020769
2020-10-21,0.05762545427352821
2020-10-25,0.06016481140689828
2020-10-27,0.05762608968714266
2020-10-28,0.05798696339331651
2020-10-29,0.05757662599596814
2020-10-30,0.05327219777726919
2020-11-01,0.061027441052387554
2020-11-02,0.06055855130195306
2020-11-03,0.06029551042298765
2020-11-04,0.056622244853037726
2020-11-05,0.05847936256707398
2020-11-08,0.06717506489875959
2020-11-11,0.05673620212141587
2020-11-15,0.06289851411951355
2020-11-19,0.06376124720223404
2020-11-27,0.08710856255840828
2020-11-28,0.07826372819249501
2020-12-01,0.08490702161801109
2020-12-02,0.08257053126997603
2020-12-03,0.08046853791059815
2020-12-04,0.08050553381437081
2020-12-07,0.07858926545854833
2020-12-08,0.07553421746867389
2020-12-09,0.07670786755615999
2021-01-03,0.09883358250969136
2021-01-24,0.14567992806798316
2021-01-25,0.15404041878812735
2021-02-16,0.1335772713413967
2021-02-27,0.13840390798430674
2021-03-05,0.12679401715301197
2021-03-06,0.11891404218629834
2021-03-11,0.11668060958614354
2021-03-14,0.1272155763661185
2021-03-15,0.12662955265897652
2021-03-16,0.12720853398270818
2021-03-18,0.12144245703608317
2021-03-21,0.10846091485234764
2021-03-23,0.09455350370584759
2021-03-24,0.10048964623186055
2021-03-27,0.08262170490311506
2021-03-28,0.0772587434552107
2021-03-29,0.07910667422558623
2021-03-30,0.08131627512611243
2021-04-01,0.08163887954621077
2021-04-04,0.08660409397906652
2021-04-05,0.08415838720776728
2021-04-06,0.08509898793149825
2021-04-07,0.08002275721662226
2021-04-08,0.07624698248027509
2021-04-09,0.07598237226807494
2021-04-10,0.07876667573211227
2021-04-12,0.08292086818250938
2021-04-14,0.09044453097263902
2021-04-15,0.08752186130565809
2021-04-16,0.08141664919196942
2021-04-17,0.07617496726229156
2021-04-19,0.09177288963882788
2021-04-20,0.0898279723392218
2021-04-22,0.08647342177977832
2021-04-23,0.09503446909748652
2021-04-24,0.09539238194023789
2021-04-25,0.09870168227404244
2021-04-27,0.08512200697405607
2021-04-30,0.09226495146780306
2021-05-01,0.09172859628820614
2021-05-02,0.09367277686980141
2021-05-04,0.11218176210982392
2021-05-05,0.11352068080816041
2021-05-06,0.11199441298136395
2021-05-07,0.10758200284049581
2021-05-08,0.10930785412597066
2021-05-12,0.12540052645182104
2021-05-14,0.13045775275502286
2021-05-15,0.1366412332467163
2021-05-16,0.1314461681861315
2021-05-17,0.1334588716873658
2021-05-18,0.1303875131840183
2021-05-19,0.1556776079057866
2021-06-05,0.15348735423048154
2021-06-15,0.12039233710071494
2021-06-16,0.11361843027513174
2021-06-18,0.11579468445358365
2021-06-23,0.1284590144039556
2021-06-25,0.12365701980525928
2021-06-26,0.1299693132645247
2021-06-27,0.12211367793549023
2021-06-29,0.1154293075935044
2021-06-30,0.1184528506399585
2021-07-03,0.11023991797293192
2021-07-04,0.104843161065387
2021-07-06,0.10447131449308608
2021-07-07,0.10666709743174545
2021-07-08,0.11106994180842761
2021-07-10,0.10608417311780717
2021-07-11,0.1028333465831911
2021-07-12,0.1036404509047261
2021-07-13,0.1034840602951757
2021-07-16,0.09930023399644397
2021-07-18,0.09938533248010444
2021-07-19,0.1033084672375818
2021-07-20,0.10863152532973813
2021-07-21,0.10822030690929246
2021-07-22,0.10692256282323197
2021-07-23,0.10110341368113618
2021-07-24,0.09930341799933898
2021-07-25,0.09948726757371605
2021-07-26,0.10672398447335088
2021-07-28,0.10818932135369433
2021-07-29,0.11006998522288625
2021-08-03,0.10407627174310183
2021-08-12,0.12288061200485877
2021-08-17,0.11657233536529055
2021-08-18,0.11665603729820759
2021-08-21,0.11115459224173305
2021-08-25,0.10763954795988345
2021-08-26,0.10413631123398427
2021-08-29,0.09957367702165709
2021-09-03,0.11206999650420335
2021-09-07,0.11615758286406785
2021-09-09,0.11073913293370972
2021-09-26,0.10047772800533622
2021-09-27,0.0993773997865074
2021-10-01,0.10123673199665613
2021-10-03,0.10078341197070712
