date,log_rv_ann,rv_d,rv_w,rv_m,rv_fwd_ttm,har_rv_pred
2019-04-11,1.201176706196878,0.048445491707679235,0.3377676652069078,0.5694242429392861,0.42973632931506045,0.7771138737947803
2019-04-15,0.417297087914867,0.17656917763353905,0.4230561913813796,0.6467793384370716,0.21558885535086314,0.8077399724277007
2019-04-29,0.2998605071702271,0.04225600826081373,0.5118472730021111,0.37521564558890136,0.3281184232662147,0.7581034160408289
2019-05-02,0.3702220758539217,0.02243732197992857,0.16540649659566165,0.3357893946551213,0.24869194100327474,0.7077447922905057
2019-05-07,0.3225136876073088,1.4221457969283637,0.4175635035735056,0.33454105651696814,2.0461434050220424,0.7877758362668739
2019-05-09,0.3174880941781796,2.7390705106498057e-06,0.34233091066383964,0.28581506724920164,2.4822181181024057,0.7179715911088762
2019-05-10,0.2450749408401564,0.0027182594524362094,0.3041131190604699,0.2859238046814313,2.529990351527033,0.7135024632266325
2019-06-04,0.5994482675432331,1.7756772814525315,0.7591566226086438,1.1932059225902945,0.5810714941974983,1.0168983747524742
2019-06-06,0.5462051700188251,0.26706892773930757,0.60813377629987,1.01567946084453,0.5273494552414723,0.9085833269375626
2019-07-25,1.2858206429325738,0.10749805919234023,0.25572996541658055,1.3686700788686583,0.2543417976799835,0.9327108741855966
2019-08-29,0.4568963134303648,2.1925064986503897,0.5145612522257911,0.6073870668725483,0.16338037951469175,0.8827064160296535
2019-09-12,0.1733775709775666,0.04858242862636847,0.21382454928838954,0.28372419823654654,0.4072903722970259,0.7038517769649123
2019-10-03,1.5196203148175207,3.20407875639834e-05,0.29193652467701975,0.8418864327588284,0.5074520900374493,0.8255628182710526
2019-10-09,0.3253425563185502,0.004670378513950403,0.30974570865326556,0.8570095845220329,0.4451389362034279,0.8309573101449815
2019-10-12,0.5074520900374503,1.163819041935804,0.7964713312613324,0.88558292041603,0.17185850839103875,0.9366494356244923
2020-01-01,0.1907865276116428,0.11130480636237529,0.23819081195538674,0.4707536696293081,0.33131552171087203,0.747240191568859
2020-01-05,0.2715436773108944,0.0038375329241677157,0.2728487684766895,0.5172406491853002,0.3233245598653254,0.7570615246622278
2020-01-06,0.2719364185212716,0.01521463416776802,0.25363073403776804,0.511709152123258,1.174177462788142,0.7540303106694167
2020-01-07,0.4260853844821385,1.4556302584776333,0.5374572898726067,0.5777639857929783,1.0125413827409167,0.853072336514911
2020-01-09,0.3314683145773064,0.1371352754309428,0.32456170434728693,0.3823260527059013,1.083140676144204,0.7404613647751349
2020-01-12,0.4024105939154552,0.10417432207922485,0.23897140373459697,0.2851873530130588,1.0608071982682699,0.7091562253396927
2020-01-13,0.3172117926802011,0.18536668987922997,0.273846577563255,0.2917907372316168,1.048078374725066,0.717593838101613
