,Overall,HV,LV
EP_hat,0.7397957655289782,0.7876285130693813,0.753962119154267
mu_P,0.7655002938308649,0.8116171456888212,0.7852068000053308
mean_rf,0.02570452830188679,0.023988632619439867,0.031244680851063824
n_obs,795.0,607.0,188.0
