,Overall,HV,LV
VRP_mean,-0.06875840544010048,-0.08022089123306075,-0.032248265506967785
sigma2_Q_mean,0.6431827812282745,0.7029377357139667,0.45285218545903233
sigma2_P_mean,0.7119411866683749,0.7831586269470275,0.48510045096600013
n_obs,678.0,516.0,162.0
